"","year","iso3c","sector","co2e_emissions"
"109",1991,"ABW","Other industrial combustion",0.02250604080012
"110",1991,"ABW","Other sectors",0.0268839704980996
"111",1992,"ABW","Power Industry",0.309809771251914
"112",1992,"ABW","Buildings",0.233509433787008
"113",1992,"ABW","Transport",0.11110974804198
"114",1992,"ABW","Other industrial combustion",0.023727764996284
"115",1992,"ABW","Other sectors",0.0282554947309058
"116",1993,"ABW","Power Industry",0.251545471098498
"117",1993,"ABW","Buildings",0.19607989130405
"118",1993,"ABW","Transport",0.118642168334588
"119",1993,"ABW","Other industrial combustion",0.063099165200464
"120",1993,"ABW","Other sectors",0.029684679226422
"121",1994,"ABW","Power Industry",0.27522705651255
"122",1994,"ABW","Buildings",0.208516980025391
"123",1994,"ABW","Transport",0.13296936771238
"124",1994,"ABW","Other industrial combustion",0.06736568645068
"125",1994,"ABW","Other sectors",0.031119139387916
"126",1995,"ABW","Power Industry",0.346210990346444
"127",1995,"ABW","Buildings",0.237351254196745
"128",1995,"ABW","Transport",0.14903459846498
"129",1995,"ABW","Other industrial combustion",0.030848081746818
"130",1995,"ABW","Other sectors",0.032375300980088
"131",1996,"ABW","Power Industry",0.228440774680652
"132",1996,"ABW","Buildings",0.158415260044012
"133",1996,"ABW","Transport",0.0998956305126766
"134",1996,"ABW","Other industrial combustion",0.019421082267064
"135",1996,"ABW","Other sectors",0.031194466742748
"136",1997,"ABW","Power Industry",0.335156531270668
"137",1997,"ABW","Buildings",0.250240501052876
"138",1997,"ABW","Transport",0.167169409584209
"139",1997,"ABW","Other industrial combustion",0.02639641152018
"140",1997,"ABW","Other sectors",0.034108307485242
"141",1998,"ABW","Power Industry",0.339408096470862
"142",1998,"ABW","Buildings",0.138017890358121
"143",1998,"ABW","Transport",0.221023398794532
"144",1998,"ABW","Other industrial combustion",0.0575843960862
"145",1998,"ABW","Other sectors",0.035002843947988
"146",1999,"ABW","Power Industry",0.293338566126758
"147",1999,"ABW","Buildings",0.17813017030364
"148",1999,"ABW","Transport",0.24829945169616
"149",1999,"ABW","Other industrial combustion",0.05703956617884
"150",1999,"ABW","Other sectors",0.035227148783338
"151",2000,"ABW","Power Industry",0.35199432023924
"152",2000,"ABW","Buildings",0.164890730585216
"153",2000,"ABW","Transport",0.27236343950774
"154",2000,"ABW","Other industrial combustion",0.107642850427832
"155",2000,"ABW","Other sectors",0.04007569999095
"156",2001,"ABW","Power Industry",0.36731440629534
