"","year","iso3c","co2_emissions","cumulative_co2"
"1",1926,"ABW",0.033,0.033
"2",1927,"ABW",0.036,0.069
"3",1928,"ABW",0.083,0.152
"4",1929,"ABW",0.103,0.255
"5",1930,"ABW",0.135,0.39
"6",1931,"ABW",0.112,0.502
"7",1932,"ABW",0.109,0.611
"8",1933,"ABW",0.117,0.728
"9",1934,"ABW",0.129,0.857
"10",1935,"ABW",0.145,1.002
"11",1936,"ABW",0.158,1.16
"12",1937,"ABW",0.184,1.344
"13",1938,"ABW",0.199,1.543
"14",1939,"ABW",0.186,1.729
"15",1940,"ABW",0.15,1.879
"16",1941,"ABW",0.183,2.062
"17",1942,"ABW",0.107,2.169
"18",1943,"ABW",0.173,2.342
"19",1944,"ABW",0.216,2.558
"20",1945,"ABW",0.251,2.809
"21",1946,"ABW",0.282,3.091
"22",1947,"ABW",0.319,3.41
"23",1948,"ABW",0.327,3.737
"24",1950,"ABW",0.41,4.147
"25",1951,"ABW",0.646,4.793
"26",1952,"ABW",0.373,5.166
"27",1953,"ABW",0.432,5.598
"28",1954,"ABW",0.873,6.471
"29",1955,"ABW",0.722,7.193
"30",1956,"ABW",0.934,8.127
"31",1957,"ABW",0.638,8.765
"32",1958,"ABW",0.559,9.324
"33",1959,"ABW",0.719,10.043
"34",1960,"ABW",0.619,10.662
"35",1961,"ABW",0.646,11.308
"36",1962,"ABW",0.709,12.017
"37",1963,"ABW",0.679,12.696
"38",1964,"ABW",0.66,13.356
"39",1965,"ABW",0.592,13.948
"40",1966,"ABW",0.554,14.502
"41",1967,"ABW",0.682,15.184
"42",1968,"ABW",0.635,15.819
"43",1969,"ABW",0.83,16.649
"44",1970,"ABW",0.929,17.578
"45",1971,"ABW",0.808,18.386
"46",1972,"ABW",0.784,19.17
"47",1973,"ABW",0.869,20.039
"48",1974,"ABW",0.788,20.827
"49",1975,"ABW",0.571,21.398
"50",1976,"ABW",1.219,22.617
"51",1977,"ABW",0.637,23.254
"52",1978,"ABW",0.542,23.796
"53",1979,"ABW",0.569,24.365
"54",1980,"ABW",0.585,24.95
"55",1981,"ABW",0.558,25.508
"56",1982,"ABW",0.623,26.131
"57",1983,"ABW",0.32,26.451
"58",1984,"ABW",0.8,27.251
"59",1985,"ABW",0.937,28.188
"60",1986,"ABW",0.18,28.368
"61",1987,"ABW",0.447,28.815
"62",1988,"ABW",0.612,29.427
"63",1989,"ABW",0.649,30.076
"64",1990,"ABW",0.487,30.563
"65",1991,"ABW",0.531,31.094
"66",1992,"ABW",0.539,31.633
"67",1993,"ABW",0.649,32.282
"68",1994,"ABW",0.66,32.942
"69",1995,"ABW",0.707,33.649
"70",1996,"ABW",0.725,34.374
"71",1997,"ABW",0.758,35.132
"72",1998,"ABW",0.806,35.938
"73",1999,"ABW",0.81,36.748
"74",2000,"ABW",2.378,39.126
"75",2001,"ABW",2.407,41.533
"76",2002,"ABW",2.437,43.97
"77",2003,"ABW",2.561,46.531
"78",2004,"ABW",2.616,49.147
"79",2005,"ABW",2.719,51.866
"80",2006,"ABW",2.715,54.581
"81",2007,"ABW",2.821,57.402
"82",2008,"ABW",2.656,60.058
"83",2009,"ABW",2.627,62.685
"84",2010,"ABW",2.506,65.191
"85",2011,"ABW",2.499,67.69
"86",2012,"ABW",1.348,69.038
"87",2013,"ABW",0.861,69.899
"88",2014,"ABW",0.872,70.771
"89",2015,"ABW",0.898,71.669
"90",2016,"ABW",0.883,72.552
"91",2017,"ABW",0.89,73.442
"92",2018,"ABW",0.872,74.314
"93",2019,"ABW",0.851,75.165
"94",2020,"ABW",0.753,75.918
"95",1949,"AFG",0.015,0.015
"96",1950,"AFG",0.084,0.099
"97",1951,"AFG",0.092,0.191
"98",1952,"AFG",0.092,0.283
"99",1953,"AFG",0.106,0.389
"100",1954,"AFG",0.106,0.495
"101",1955,"AFG",0.154,0.649
"102",1956,"AFG",0.183,0.832
"103",1957,"AFG",0.293,1.125
"104",1958,"AFG",0.33,1.455
"105",1959,"AFG",0.385,1.84
"106",1960,"AFG",0.414,2.254
"107",1961,"AFG",0.491,2.745
"108",1962,"AFG",0.689,3.434
"109",1963,"AFG",0.707,4.141
"110",1964,"AFG",0.839,4.98
"111",1965,"AFG",1.007,5.987
"112",1966,"AFG",1.091,7.078
"113",1967,"AFG",1.282,8.36
"114",1968,"AFG",1.223,9.583
"115",1969,"AFG",0.941,10.524
"116",1970,"AFG",1.67,12.194
"117",1971,"AFG",1.894,14.088
"118",1972,"AFG",1.53,15.618
"119",1973,"AFG",1.635,17.253
"120",1974,"AFG",1.913,19.166
"121",1975,"AFG",2.121,21.287
"122",1976,"AFG",1.981,23.268
"123",1977,"AFG",2.384,25.652
"124",1978,"AFG",2.153,27.805
"125",1979,"AFG",2.233,30.038
"126",1980,"AFG",1.756,31.794
"127",1981,"AFG",1.978,33.772
"128",1982,"AFG",2.095,35.867
"129",1983,"AFG",2.52,38.387
"130",1984,"AFG",2.822,41.209
"131",1985,"AFG",3.501,44.71
"132",1986,"AFG",3.134,47.844
"133",1987,"AFG",3.114,50.958
"134",1988,"AFG",2.857,53.815
"135",1989,"AFG",2.765,56.58
"136",1990,"AFG",2.603,59.183
"137",1991,"AFG",2.427,61.61
"138",1992,"AFG",1.379,62.989
"139",1993,"AFG",1.333,64.322
"140",1994,"AFG",1.282,65.604
"141",1995,"AFG",1.23,66.834
"142",1996,"AFG",1.165,67.999
"143",1997,"AFG",1.084,69.083
"144",1998,"AFG",1.029,70.112
"145",1999,"AFG",0.81,70.922
"146",2000,"AFG",0.758,71.68
"147",2001,"AFG",0.798,72.478
"148",2002,"AFG",1.052,73.53
"149",2003,"AFG",1.186,74.716
"150",2004,"AFG",0.889,75.605
"151",2005,"AFG",1.303,76.908
"152",2006,"AFG",1.635,78.543
"153",2007,"AFG",2.269,80.812
"154",2008,"AFG",4.2,85.012
"155",2009,"AFG",6.74,91.752
"156",2010,"AFG",8.398,100.15
"157",2011,"AFG",12.106,112.256
"158",2012,"AFG",10.219,122.475
"159",2013,"AFG",8.441,130.916
"160",2014,"AFG",7.774,138.69
"161",2015,"AFG",7.904,146.594
"162",2016,"AFG",6.745,153.339
"163",2017,"AFG",6.86,160.199
"164",2018,"AFG",8.345,168.544
"165",2019,"AFG",12.147,180.691
"166",2020,"AFG",12.16,192.851
"167",1950,"AGO",0.187,0.187
"168",1951,"AGO",0.249,0.436
"169",1952,"AGO",0.311,0.747
"170",1953,"AGO",0.275,1.022
"171",1954,"AGO",0.348,1.37
"172",1955,"AGO",0.414,1.784
"173",1956,"AGO",0.502,2.286
"174",1957,"AGO",0.619,2.905
"175",1958,"AGO",0.593,3.498
"176",1959,"AGO",0.619,4.117
"177",1960,"AGO",0.549,4.666
"178",1961,"AGO",0.454,5.12
"179",1962,"AGO",1.179,6.299
"180",1963,"AGO",1.15,7.449
"181",1964,"AGO",1.223,8.672
"182",1965,"AGO",1.186,9.858
"183",1966,"AGO",1.552,11.41
"184",1967,"AGO",0.992,12.402
"185",1968,"AGO",1.67,14.072
"186",1969,"AGO",2.783,16.855
"187",1970,"AGO",3.578,20.433
"188",1971,"AGO",3.405,23.838
"189",1972,"AGO",4.501,28.339
"190",1973,"AGO",4.874,33.213
"191",1974,"AGO",4.866,38.079
"192",1975,"AGO",4.409,42.488
"193",1976,"AGO",3.28,45.768
"194",1977,"AGO",3.528,49.296
"195",1978,"AGO",5.4,54.696
"196",1979,"AGO",5.489,60.185
"197",1980,"AGO",5.334,65.519
"198",1981,"AGO",5.267,70.786
"199",1982,"AGO",4.635,75.421
"200",1983,"AGO",5.101,80.522
"201",1984,"AGO",4.986,85.508
"202",1985,"AGO",4.676,90.184
"203",1986,"AGO",4.634,94.818
"204",1987,"AGO",5.786,100.604
"205",1988,"AGO",5.049,105.653
"206",1989,"AGO",4.923,110.576
"207",1990,"AGO",5.09,115.666
"208",1991,"AGO",5.064,120.73
"209",1992,"AGO",5.164,125.894
"210",1993,"AGO",5.748,131.642
"211",1994,"AGO",3.865,135.507
"212",1995,"AGO",10.949,146.456
"213",1996,"AGO",10.424,156.88
"214",1997,"AGO",7.348,164.228
"215",1998,"AGO",7.268,171.496
"216",1999,"AGO",9.13,180.626
"217",2000,"AGO",9.516,190.142
"218",2001,"AGO",9.671,199.813
"219",2002,"AGO",12.598,212.411
"220",2003,"AGO",8.989,221.4
"221",2004,"AGO",18.701,240.101
"222",2005,"AGO",19.006,259.107
"223",2006,"AGO",22.102,281.209
"224",2007,"AGO",24.977,306.186
"225",2008,"AGO",25.486,331.672
"226",2009,"AGO",27.565,359.237
"227",2010,"AGO",28.865,388.102
"228",2011,"AGO",30.33,418.432
"229",2012,"AGO",33.801,452.233
"230",2013,"AGO",33.229,485.462
"231",2014,"AGO",33.296,518.758
"232",2015,"AGO",33.621,552.379
"233",2016,"AGO",31.404,583.783
"234",2017,"AGO",28.42,612.203
"235",2018,"AGO",24.376,636.579
"236",2019,"AGO",23.487,660.066
"237",2020,"AGO",22.198,682.264
"238",1990,"AIA",0.051,0.051
"239",1991,"AIA",0.051,0.102
"240",1992,"AIA",0.055,0.157
"241",1993,"AIA",0.066,0.223
"242",1994,"AIA",0.066,0.289
"243",1995,"AIA",0.066,0.355
"244",1996,"AIA",0.07,0.425
"245",1997,"AIA",0.07,0.495
"246",1998,"AIA",0.077,0.572
"247",1999,"AIA",0.081,0.653
"248",2000,"AIA",0.088,0.741
"249",2001,"AIA",0.095,0.836
"250",2002,"AIA",0.095,0.931
"251",2003,"AIA",0.103,1.034
"252",2004,"AIA",0.121,1.155
"253",2005,"AIA",0.128,1.283
"254",2006,"AIA",0.143,1.426
"255",2007,"AIA",0.15,1.576
"256",2008,"AIA",0.15,1.726
"257",2009,"AIA",0.147,1.873
"258",2010,"AIA",0.15,2.023
"259",2011,"AIA",0.143,2.166
"260",2012,"AIA",0.143,2.309
"261",2013,"AIA",0.117,2.426
"262",2014,"AIA",0.139,2.565
"263",2015,"AIA",0.154,2.719
"264",2016,"AIA",0.154,2.873
"265",2017,"AIA",0.143,3.016
"266",2018,"AIA",0.143,3.159
"267",2019,"AIA",0.139,3.298
"268",2020,"AIA",0.123,3.421
"269",1933,"ALB",0.007,0.007
"270",1934,"ALB",0.007,0.014
"271",1935,"ALB",0.018,0.032
"272",1936,"ALB",0.128,0.16
"273",1937,"ALB",0.297,0.457
"274",1938,"ALB",0.348,0.805
"275",1939,"ALB",0.432,1.237
"276",1940,"ALB",0.692,1.929
"277",1941,"ALB",0.627,2.556
"278",1942,"ALB",0.744,3.3
"279",1943,"ALB",0.462,3.762
"280",1944,"ALB",0.154,3.916
"281",1945,"ALB",0.121,4.037
"282",1946,"ALB",0.484,4.521
"283",1947,"ALB",0.927,5.448
"284",1948,"ALB",0.703,6.151
"285",1949,"ALB",1.015,7.166
"286",1950,"ALB",0.297,7.463
"287",1951,"ALB",0.403,7.866
"288",1952,"ALB",0.374,8.24
"289",1953,"ALB",0.414,8.654
"290",1954,"ALB",0.502,9.156
"291",1955,"ALB",0.663,9.819
"292",1956,"ALB",0.839,10.658
"293",1957,"ALB",1.506,12.164
"294",1958,"ALB",1.202,13.366
"295",1959,"ALB",1.444,14.81
"296",1960,"ALB",2.023,16.833
"297",1961,"ALB",2.279,19.112
"298",1962,"ALB",2.462,21.574
"299",1963,"ALB",2.081,23.655
"300",1964,"ALB",2.015,25.67
"301",1965,"ALB",2.173,27.843
"302",1966,"ALB",2.55,30.393
"303",1967,"ALB",2.678,33.071
"304",1968,"ALB",3.07,36.141
"305",1969,"ALB",3.243,39.384
"306",1970,"ALB",3.741,43.125
"307",1971,"ALB",4.349,47.474
"308",1972,"ALB",5.639,53.113
"309",1973,"ALB",5.287,58.4
"310",1974,"ALB",4.342,62.742
"311",1975,"ALB",4.591,67.333
"312",1976,"ALB",4.946,72.279
"313",1977,"ALB",5.716,77.995
"314",1978,"ALB",6.489,84.484
"315",1979,"ALB",7.581,92.065
"316",1980,"ALB",5.166,97.231
"317",1981,"ALB",7.335,104.566
"318",1982,"ALB",7.302,111.868
"319",1983,"ALB",7.625,119.493
"320",1984,"ALB",7.819,127.312
"321",1985,"ALB",7.874,135.186
"322",1986,"ALB",8.05,143.236
"323",1987,"ALB",7.438,150.674
"324",1988,"ALB",7.321,157.995
"325",1989,"ALB",8.977,166.972
"326",1990,"ALB",5.445,172.417
"327",1991,"ALB",4.228,176.645
"328",1992,"ALB",2.495,179.14
"329",1993,"ALB",2.316,181.456
"330",1994,"ALB",1.913,183.369
"331",1995,"ALB",2.066,185.435
"332",1996,"ALB",1.993,187.428
"333",1997,"ALB",1.532,188.96
"334",1998,"ALB",1.744,190.704
"335",1999,"ALB",2.975,193.679
"336",2000,"ALB",3.004,196.683
"337",2001,"ALB",3.221,199.904
"338",2002,"ALB",3.748,203.652
"339",2003,"ALB",4.232,207.884
"340",2004,"ALB",4.104,211.988
"341",2005,"ALB",4.199,216.187
"342",2006,"ALB",3.844,220.031
"343",2007,"ALB",3.829,223.86
"344",2008,"ALB",4.272,228.132
"345",2009,"ALB",4.254,232.386
"346",2010,"ALB",4.448,236.834
"347",2011,"ALB",5.031,241.865
"348",2012,"ALB",4.668,246.533
"349",2013,"ALB",4.928,251.461
"350",2014,"ALB",5.621,257.082
"351",2015,"ALB",4.496,261.578
"352",2016,"ALB",4.492,266.07
"353",2017,"ALB",5.302,271.372
"354",2018,"ALB",4.734,276.106
"355",2019,"ALB",4.863,280.969
"356",2020,"ALB",4.535,285.504
"357",1990,"AND",0.407,0.407
"358",1991,"AND",0.407,0.814
"359",1992,"AND",0.407,1.221
"360",1993,"AND",0.41,1.631
"361",1994,"AND",0.407,2.038
"362",1995,"AND",0.425,2.463
"363",1996,"AND",0.454,2.917
"364",1997,"AND",0.465,3.382
"365",1998,"AND",0.491,3.873
"366",1999,"AND",0.513,4.386
"367",2000,"AND",0.524,4.91
"368",2001,"AND",0.524,5.434
"369",2002,"AND",0.531,5.965
"370",2003,"AND",0.535,6.5
"371",2004,"AND",0.561,7.061
"372",2005,"AND",0.575,7.636
"373",2006,"AND",0.546,8.182
"374",2007,"AND",0.539,8.721
"375",2008,"AND",0.539,9.26
"376",2009,"AND",0.517,9.777
"377",2010,"AND",0.517,10.294
"378",2011,"AND",0.491,10.785
"379",2012,"AND",0.487,11.272
"380",2013,"AND",0.476,11.748
"381",2014,"AND",0.462,12.21
"382",2015,"AND",0.465,12.675
"383",2016,"AND",0.469,13.144
"384",2017,"AND",0.465,13.609
"385",2018,"AND",0.495,14.104
"386",2019,"AND",0.502,14.606
"387",2020,"AND",0.466,15.072
"388",1959,"ARE",0.011,0.011
"389",1960,"ARE",0.011,0.022
"390",1961,"ARE",0.011,0.033
"391",1962,"ARE",0.018,0.051
"392",1963,"ARE",0.022,0.073
"393",1964,"ARE",0.018,0.091
"394",1965,"ARE",0.022,0.113
"395",1966,"ARE",0.026,0.139
"396",1967,"ARE",0.916,1.055
"397",1968,"ARE",1.242,2.297
"398",1969,"ARE",20.507,22.804
"399",1970,"ARE",15.235,38.039
"400",1971,"ARE",21.167,59.206
"401",1972,"ARE",23.435,82.641
"402",1973,"ARE",30.605,113.246
"403",1974,"ARE",31.302,144.548
"404",1975,"ARE",31.045,175.593
"405",1976,"ARE",39.617,215.21
"406",1977,"ARE",38.751,253.961
"407",1978,"ARE",44.754,298.715
"408",1979,"ARE",36.546,335.261
"409",1980,"ARE",36.823,372.084
"410",1981,"ARE",36.767,408.851
"411",1982,"ARE",36.753,445.604
"412",1983,"ARE",35.22,480.824
"413",1984,"ARE",46.156,526.98
"414",1985,"ARE",49.653,576.633
"415",1986,"ARE",47.03,623.663
"416",1987,"ARE",47.45,671.113
"417",1988,"ARE",48.096,719.209
"418",1989,"ARE",54.186,773.395
"419",1990,"ARE",51.704,825.099
"420",1991,"ARE",56.673,881.772
"421",1992,"ARE",57.757,939.529
"422",1993,"ARE",65.566,1005.095
"423",1994,"ARE",72.605,1077.7
"424",1995,"ARE",70.012,1147.712
"425",1996,"ARE",72.775,1220.487
"426",1997,"ARE",73.101,1293.588
"427",1998,"ARE",80.683,1374.271
"428",1999,"ARE",77.544,1451.815
"429",2000,"ARE",111.787,1563.602
"430",2001,"ARE",100.591,1664.193
"431",2002,"ARE",83.698,1747.891
"432",2003,"ARE",105.619,1853.51
"433",2004,"ARE",111.802,1965.312
"434",2005,"ARE",114.478,2079.79
"435",2006,"ARE",121.737,2201.527
"436",2007,"ARE",133.264,2334.791
"437",2008,"ARE",153.97,2488.761
"438",2009,"ARE",165.5,2654.261
"439",2010,"ARE",180.622,2834.883
"440",2011,"ARE",192.991,3027.874
"441",2012,"ARE",201.548,3229.422
"442",2013,"ARE",205.39,3434.812
"443",2014,"ARE",201.927,3636.739
"444",2015,"ARE",216.583,3853.322
"445",2016,"ARE",214.667,4067.989
"446",2017,"ARE",168.831,4236.82
"447",2018,"ARE",154.204,4391.024
"448",2019,"ARE",154.186,4545.21
"449",2020,"ARE",150.268,4695.478
"450",1900,"ARG",2.07,2.07
"451",1901,"ARG",2.492,4.562
"452",1902,"ARG",2.814,7.376
"453",1903,"ARG",2.862,10.238
"454",1904,"ARG",3.796,14.034
"455",1905,"ARG",3.983,18.017
"456",1906,"ARG",6.254,24.271
"457",1907,"ARG",6.254,30.525
"458",1908,"ARG",7.617,38.142
"459",1909,"ARG",5.936,44.078
"460",1910,"ARG",8.907,52.985
"461",1911,"ARG",9.944,62.929
"462",1912,"ARG",9.479,72.408
"463",1913,"ARG",10.146,82.554
"464",1914,"ARG",8.673,91.227
"465",1915,"ARG",6.94,98.167
"466",1916,"ARG",4.987,103.154
"467",1917,"ARG",2.231,105.385
"468",1918,"ARG",2.521,107.906
"469",1919,"ARG",3.726,111.632
"470",1920,"ARG",5.892,117.524
"471",1921,"ARG",5.54,123.064
"472",1922,"ARG",7.299,130.363
"473",1923,"ARG",8.446,138.809
"474",1924,"ARG",10.959,149.768
"475",1925,"ARG",11.237,161.005
"476",1926,"ARG",11.259,172.264
"477",1927,"ARG",13.374,185.638
"478",1928,"ARG",12.739,198.377
"479",1929,"ARG",13.13,211.507
"480",1930,"ARG",12.767,224.274
"481",1931,"ARG",12.844,237.118
"482",1932,"ARG",13.1,250.218
"483",1933,"ARG",13.232,263.45
"484",1934,"ARG",14.24,277.69
"485",1935,"ARG",13.997,291.687
"486",1936,"ARG",15.096,306.783
"487",1937,"ARG",16.711,323.494
"488",1938,"ARG",16.347,339.841
"489",1939,"ARG",17.377,357.218
"490",1940,"ARG",15.864,373.082
"491",1941,"ARG",13.94,387.022
"492",1942,"ARG",13.479,400.501
"493",1943,"ARG",14.077,414.578
"494",1944,"ARG",13.952,428.53
"495",1945,"ARG",13.666,442.196
"496",1946,"ARG",13.702,455.898
"497",1947,"ARG",14.515,470.413
"498",1948,"ARG",17.392,487.805
"499",1949,"ARG",15.365,503.17
"500",1950,"ARG",29.921,533.091
"501",1951,"ARG",34.963,568.054
"502",1952,"ARG",36.095,604.149
"503",1953,"ARG",35.135,639.284
"504",1954,"ARG",36.75,676.034
"505",1955,"ARG",39.56,715.594
"506",1956,"ARG",44.297,759.891
"507",1957,"ARG",47.608,807.499
"508",1958,"ARG",44.193,851.692
"509",1959,"ARG",48.949,900.641
"510",1960,"ARG",48.764,949.405
"511",1961,"ARG",51.127,1000.532
"512",1962,"ARG",53.64,1054.172
"513",1963,"ARG",50.033,1104.205
"514",1964,"ARG",55.67,1159.875
"515",1965,"ARG",58.805,1218.68
"516",1966,"ARG",63.073,1281.753
"517",1967,"ARG",65.476,1347.229
"518",1968,"ARG",69.009,1416.238
"519",1969,"ARG",77.249,1493.487
"520",1970,"ARG",82.648,1576.135
"521",1971,"ARG",88.847,1664.982
"522",1972,"ARG",90.067,1755.049
"523",1973,"ARG",93.976,1849.025
"524",1974,"ARG",95.48,1944.505
"525",1975,"ARG",94.845,2039.35
"526",1976,"ARG",99.699,2139.049
"527",1977,"ARG",100.706,2239.755
"528",1978,"ARG",102.556,2342.311
"529",1979,"ARG",110.616,2452.927
"530",1980,"ARG",108.656,2561.583
"531",1981,"ARG",101.969,2663.552
"532",1982,"ARG",103.351,2766.903
"533",1983,"ARG",105.142,2872.045
"534",1984,"ARG",106.452,2978.497
"535",1985,"ARG",100.531,3079.028
"536",1986,"ARG",104.15,3183.178
"537",1987,"ARG",114.877,3298.055
"538",1988,"ARG",121.405,3419.46
"539",1989,"ARG",117.02,3536.48
"540",1990,"ARG",112.079,3648.559
"541",1991,"ARG",117.506,3766.065
"542",1992,"ARG",121.231,3887.296
"543",1993,"ARG",117.777,4005.073
"544",1994,"ARG",122.229,4127.302
"545",1995,"ARG",127.765,4255.067
"546",1996,"ARG",134.762,4389.829
"547",1997,"ARG",137.641,4527.47
"548",1998,"ARG",139.452,4666.922
"549",1999,"ARG",147.285,4814.207
"550",2000,"ARG",142.358,4956.565
"551",2001,"ARG",134.004,5090.569
"552",2002,"ARG",124.392,5214.961
"553",2003,"ARG",134.631,5349.592
"554",2004,"ARG",157.043,5506.635
"555",2005,"ARG",161.434,5668.069
"556",2006,"ARG",174.609,5842.678
"557",2007,"ARG",174.246,6016.924
"558",2008,"ARG",188.106,6205.03
"559",2009,"ARG",178.949,6383.979
"560",2010,"ARG",186.733,6570.712
"561",2011,"ARG",190.274,6760.986
"562",2012,"ARG",191.715,6952.701
"563",2013,"ARG",190.133,7142.834
"564",2014,"ARG",188.657,7331.491
"565",2015,"ARG",192.406,7523.897
"566",2016,"ARG",190.977,7714.874
"567",2017,"ARG",187.805,7902.679
"568",2018,"ARG",181.1,8083.779
"569",2019,"ARG",167.566,8251.345
"570",2020,"ARG",156.978,8408.323
"571",1900,"ARM",0.172,0.172
"572",1901,"ARM",0.177,0.349
"573",1902,"ARM",0.171,0.52
"574",1903,"ARM",0.167,0.687
"575",1904,"ARM",0.186,0.873
"576",1905,"ARM",0.166,1.039
"577",1906,"ARM",0.189,1.228
"578",1907,"ARM",0.212,1.44
"579",1908,"ARM",0.214,1.654
"580",1909,"ARM",0.225,1.879
"581",1910,"ARM",0.221,2.1
"582",1911,"ARM",0.229,2.329
"583",1912,"ARM",0.26,2.589
"584",1913,"ARM",0.282,2.871
"585",1914,"ARM",0.255,3.126
"586",1915,"ARM",0.234,3.36
"587",1916,"ARM",0.249,3.609
"588",1917,"ARM",0.229,3.838
"589",1918,"ARM",0.091,3.929
"590",1919,"ARM",0.078,4.007
"591",1920,"ARM",0.071,4.078
"592",1921,"ARM",0.077,4.155
"593",1922,"ARM",0.094,4.249
"594",1923,"ARM",0.104,4.353
"595",1924,"ARM",0.124,4.477
"596",1925,"ARM",0.122,4.599
"597",1926,"ARM",0.177,4.776
"598",1927,"ARM",0.22,4.996
"599",1928,"ARM",0.242,5.238
"600",1929,"ARM",0.261,5.499
"601",1930,"ARM",0.356,5.855
"602",1931,"ARM",0.428,6.283
"603",1932,"ARM",0.482,6.765
"604",1933,"ARM",0.539,7.304
"605",1934,"ARM",0.651,7.955
"606",1935,"ARM",0.736,8.691
"607",1936,"ARM",0.842,9.533
"608",1937,"ARM",0.862,10.395
"609",1938,"ARM",0.91,11.305
"610",1939,"ARM",0.922,12.227
"611",1940,"ARM",1.105,13.332
"612",1941,"ARM",0.971,14.303
"613",1942,"ARM",0.532,14.835
"614",1943,"ARM",0.556,15.391
"615",1944,"ARM",0.806,16.197
"616",1945,"ARM",0.849,17.046
"617",1946,"ARM",0.952,17.998
"618",1947,"ARM",1.145,19.143
"619",1948,"ARM",1.216,20.359
"620",1949,"ARM",1.382,21.741
"621",1950,"ARM",1.538,23.279
"622",1951,"ARM",1.665,24.944
"623",1952,"ARM",1.783,26.727
"624",1953,"ARM",1.885,28.612
"625",1954,"ARM",2.057,30.669
"626",1955,"ARM",2.333,33.002
"627",1956,"ARM",2.56,35.562
"628",1957,"ARM",2.802,38.364
"629",1958,"ARM",2.993,41.357
"630",1959,"ARM",3.147,44.504
"631",1960,"ARM",3.277,47.781
"632",1961,"ARM",3.383,51.164
"633",1962,"ARM",3.556,54.72
"634",1963,"ARM",3.818,58.538
"635",1964,"ARM",4.065,62.603
"636",1965,"ARM",4.314,66.917
"637",1966,"ARM",4.558,71.475
"638",1967,"ARM",4.771,76.246
"639",1968,"ARM",4.911,81.157
"640",1969,"ARM",5.118,86.275
"641",1970,"ARM",5.382,91.657
"642",1971,"ARM",5.722,97.379
"643",1972,"ARM",6.027,103.406
"644",1973,"ARM",6.29,109.696
"645",1974,"ARM",6.539,116.235
"646",1975,"ARM",6.881,123.116
"647",1976,"ARM",7.148,130.264
"648",1977,"ARM",7.394,137.658
"649",1978,"ARM",7.653,145.311
"650",1979,"ARM",7.716,153.027
"651",1980,"ARM",8.018,161.045
"652",1981,"ARM",7.878,168.923
"653",1982,"ARM",8.028,176.951
"654",1983,"ARM",8.148,185.099
"655",1984,"ARM",8.224,193.323
"656",1985,"ARM",8.862,202.185
"657",1986,"ARM",8.439,210.624
"658",1987,"ARM",8.369,218.993
"659",1988,"ARM",9.425,228.418
"660",1989,"ARM",9.523,237.941
"661",1990,"ARM",8.962,246.903
"662",1991,"ARM",7.288,254.191
"663",1992,"ARM",5.863,260.054
"664",1993,"ARM",2.575,262.629
"665",1994,"ARM",2.713,265.342
"666",1995,"ARM",3.433,268.775
"667",1996,"ARM",2.595,271.37
"668",1997,"ARM",3.269,274.639
"669",1998,"ARM",3.397,278.036
"670",1999,"ARM",3.05,281.086
"671",2000,"ARM",3.491,284.577
"672",2001,"ARM",3.533,288.11
"673",2002,"ARM",3.077,291.187
"674",2003,"ARM",3.456,294.643
"675",2004,"ARM",3.691,298.334
"676",2005,"ARM",4.376,302.71
"677",2006,"ARM",4.402,307.112
"678",2007,"ARM",5.1,312.212
"679",2008,"ARM",5.575,317.787
"680",2009,"ARM",4.363,322.15
"681",2010,"ARM",4.253,326.403
"682",2011,"ARM",4.969,331.372
"683",2012,"ARM",5.748,337.12
"684",2013,"ARM",5.535,342.655
"685",2014,"ARM",5.604,348.259
"686",2015,"ARM",5.469,353.728
"687",2016,"ARM",5.203,358.931
"688",2017,"ARM",5.537,364.468
"689",2018,"ARM",5.826,370.294
"690",2019,"ARM",5.529,375.823
"691",2020,"ARM",5.89,381.713
"692",1987,"ATA",0.004,0.004
"693",1988,"ATA",0.007,0.011
"694",1989,"ATA",0.007,0.018
"695",1990,"ATA",0.011,0.029
"696",1991,"ATA",0.015,0.044
"697",1992,"ATA",0.015,0.059
"698",1993,"ATA",0.015,0.074
"699",1994,"ATA",0.015,0.089
"700",1995,"ATA",0.004,0.093
"701",1996,"ATA",0.004,0.097
"702",1997,"ATA",0.004,0.101
"703",1998,"ATA",0.004,0.105
"704",1999,"ATA",0.004,0.109
"705",2000,"ATA",0.004,0.113
"706",2001,"ATA",0.004,0.117
"707",2002,"ATA",0.004,0.121
"708",2003,"ATA",0.004,0.125
"709",2004,"ATA",0.007,0.132
"710",2005,"ATA",0.007,0.139
"711",2006,"ATA",0.007,0.146
"712",2007,"ATA",0.011,0.157
"713",1957,"ATG",0.022,0.022
"714",1958,"ATG",0.029,0.051
"715",1959,"ATG",0.029,0.08
"716",1960,"ATG",0.037,0.117
"717",1961,"ATG",0.048,0.165
"718",1962,"ATG",0.103,0.268
"719",1963,"ATG",0.084,0.352
"720",1964,"ATG",0.092,0.444
"721",1965,"ATG",0.15,0.594
"722",1966,"ATG",0.348,0.942
"723",1967,"ATG",0.564,1.506
"724",1968,"ATG",0.989,2.495
"725",1969,"ATG",1.257,3.752
"726",1970,"ATG",0.462,4.214
"727",1971,"ATG",0.425,4.639
"728",1972,"ATG",0.374,5.013
"729",1973,"ATG",0.33,5.343
"730",1974,"ATG",0.429,5.772
"731",1975,"ATG",0.707,6.479
"732",1976,"ATG",0.403,6.882
