"","year","iso3c","gdp","continent"
"145",1960,"SDN",10295238517.4171,"Africa"
"146",1960,"SEN",3845391088.81703,"Africa"
"147",1960,"SGP",5942828047.71603,"Asia"
"148",1960,"SLB",NA,"Oceania"
"149",1960,"SLE",1151844102.95132,"Africa"
"150",1960,"SLV",NA,"Americas"
"151",1960,"SMR",NA,"Europe"
"152",1960,"SOM",NA,"Africa"
"153",1960,"SRB",NA,"Europe"
"154",1960,"SSD",NA,"Africa"
"155",1960,"STP",NA,"Africa"
"156",1960,"SUR",1039848345.70204,"Americas"
"157",1960,"SWZ",NA,"Africa"
"158",1960,"SXM",NA,"Americas"
"159",1960,"SYC",131933783.530125,"Africa"
"160",1960,"SYR",2395697353.80579,"Asia"
"161",1960,"TCA",NA,"Americas"
"162",1960,"TCD",1696963329.07911,"Africa"
"163",1960,"TGO",535797649.692092,"Africa"
"164",1960,"THA",15908745237.0732,"Asia"
"165",1960,"TJK",NA,"Asia"
"166",1960,"TKM",NA,"Asia"
"167",1960,"TLS",NA,"Asia"
"168",1960,"TON",NA,"Oceania"
"169",1960,"TTO",3687199918.13576,"Americas"
"170",1960,"TUN",NA,"Africa"
"171",1960,"TUR",68945226535.3849,"Asia"
"172",1960,"TUV",NA,"Oceania"
"173",1960,"TZA",NA,"Africa"
"174",1960,"UGA",NA,"Africa"
"175",1960,"UKR",NA,"Europe"
"176",1960,"URY",15568244458.5019,"Americas"
"177",1960,"USA",3457188037625.69,"Americas"
"178",1960,"UZB",NA,"Asia"
"179",1960,"VCT",149190188.238018,"Americas"
"180",1960,"VEN",NA,"Americas"
"181",1960,"VGB",NA,"Americas"
"182",1960,"VIR",NA,"Americas"
"183",1960,"VNM",NA,"Asia"
"184",1960,"VUT",NA,"Oceania"
"185",1960,"WSM",NA,"Oceania"
"186",1960,"YEM",NA,"Asia"
"187",1960,"ZAF",65652816757.7433,"Africa"
"188",1960,"ZMB",3745698444.11593,"Africa"
"189",1960,"ZWE",4398850040.77183,"Africa"
"190",1961,"ABW",NA,"Americas"
"191",1961,"AFG",NA,"Asia"
"192",1961,"AGO",NA,"Africa"
"193",1961,"ALB",NA,"Europe"
"194",1961,"AND",NA,"Europe"
"195",1961,"ARE",NA,"Asia"
"196",1961,"ARG",158982878501.396,"Americas"
"197",1961,"ARM",NA,"Asia"
"198",1961,"ASM",NA,"Oceania"
"199",1961,"ATG",NA,"Americas"
"200",1961,"AUS",210140579058.534,"Oceania"
"201",1961,"AZE",NA,"Asia"
"202",1961,"BDI",688854936.96542,"Africa"
"203",1961,"BEN",1702986955.13621,"Africa"
"204",1961,"BFA",1213966637.39199,"Africa"
"205",1961,"BGD",23595196297.5699,"Asia"
"206",1961,"BHR",NA,"Asia"
"207",1961,"BHS",2436525418.35062,"Americas"
"208",1961,"BIH",NA,"Europe"
"209",1961,"BLR",NA,"Europe"
"210",1961,"BLZ",115410358.318665,"Americas"
"211",1961,"BMU",1763181111.92444,"Americas"
"212",1961,"BOL",4826516215.3241,"Americas"
"213",1961,"BRA",204671730778.626,"Americas"
"214",1961,"BRB",NA,"Americas"
"215",1961,"BRN",NA,"Asia"
"216",1961,"BTN",NA,"Asia"
"217",1961,"BWA",191161457.658828,"Africa"
"218",1961,"CAF",1028934740.61167,"Africa"
"219",1961,"CAN",NA,"Americas"
"220",1961,"CHE",NA,"Europe"
"221",1961,"CHL",28505352534.2834,"Americas"
"222",1961,"CHN",115573183433.676,"Asia"
"223",1961,"CIV",6038315884.561,"Africa"
"224",1961,"CMR",4884469556.99475,"Africa"
"225",1961,"COD",17088021198.7767,"Africa"
"226",1961,"COG",1358235874.18264,"Africa"
"227",1961,"COL",32163862369.9921,"Americas"
"228",1961,"COM",NA,"Africa"
"229",1961,"CPV",NA,"Africa"
"230",1961,"CRI",4881521089.29929,"Americas"
"231",1961,"CUB",NA,"Americas"
"232",1961,"CUW",NA,"Americas"
"233",1961,"CYM",NA,"Americas"
"234",1961,"DJI",NA,"Africa"
"235",1961,"DMA",NA,"Americas"
"236",1961,"DOM",4426106495.99265,"Americas"
"237",1961,"DZA",20733849882.3774,"Africa"
"238",1961,"ECU",12282048670.6423,"Americas"
"239",1961,"EGY",21345429170.824,"Africa"
"240",1961,"ERI",NA,"Africa"
"241",1961,"ETH",NA,"Africa"
"242",1961,"EUR",2017014950466.45,"Europe"
"243",1961,"FJI",894854157.388206,"Oceania"
"244",1961,"FRO",NA,"Europe"
"245",1961,"FSM",NA,"Oceania"
"246",1961,"GAB",1946939612.83482,"Africa"
"247",1961,"GBR",802462500630.958,"Europe"
"248",1961,"GEO",NA,"Asia"
"249",1961,"GHA",7920604559.92971,"Africa"
"250",1961,"GIB",NA,"Europe"
"251",1961,"GIN",NA,"Africa"
"252",1961,"GMB",NA,"Africa"
"253",1961,"GNB",NA,"Africa"
"254",1961,"GNQ",NA,"Africa"
"255",1961,"GRD",NA,"Americas"
"256",1961,"GRL",NA,"Americas"
"257",1961,"GTM",7987408907.81677,"Americas"
"258",1961,"GUM",NA,"Oceania"
"259",1961,"GUY",1628814869.07249,"Americas"
"260",1961,"HKG",12532981468.2878,"Asia"
"261",1961,"HND",2516776401.58448,"Americas"
"262",1961,"HTI",6491010262.02213,"Americas"
"263",1961,"IDN",55807383539.0809,"Asia"
"264",1961,"IMN",NA,"Europe"
"265",1961,"IND",141444716854.906,"Asia"
"266",1961,"IRN",58418320244.8242,"Asia"
"267",1961,"IRQ",NA,"Asia"
"268",1961,"ISL",NA,"Europe"
"269",1961,"ISR",NA,"Asia"
"270",1961,"JAM",NA,"Americas"
"271",1961,"JOR",NA,"Asia"
"272",1961,"JPN",653880668169.039,"Asia"
"273",1961,"KAZ",NA,"Asia"
"274",1961,"KEN",5627640180.25289,"Africa"
"275",1961,"KGZ",NA,"Asia"
"276",1961,"KHM",NA,"Asia"
"277",1961,"KIR",NA,"Oceania"
"278",1961,"KNA",NA,"Americas"
"279",1961,"KOR",27481937749.6061,"Asia"
"280",1961,"KWT",NA,"Asia"
"281",1961,"LAO",NA,"Asia"
"282",1961,"LBN",NA,"Asia"
"283",1961,"LBR",NA,"Africa"
"284",1961,"LBY",NA,"Africa"
"285",1961,"LCA",NA,"Americas"
"286",1961,"LIE",NA,"Europe"
"287",1961,"LKA",6243486562.26836,"Asia"
"288",1961,"LSO",197131452.55722,"Africa"
"289",1961,"MAC",NA,"Asia"
"290",1961,"MAF",NA,"Americas"
"291",1961,"MAR",NA,"Africa"
"292",1961,"MCO",NA,"Europe"
"293",1961,"MDA",NA,"Europe"
"294",1961,"MDG",4236482862.70581,"Africa"
"295",1961,"MDV",NA,"Asia"
"296",1961,"MEX",148406633868.462,"Americas"
"297",1961,"MHL",NA,"Oceania"
"298",1961,"MKD",NA,"Europe"
"299",1961,"MLI",NA,"Africa"
"300",1961,"MMR",3221543699.28014,"Asia"
"301",1961,"MNE",NA,"Europe"
"302",1961,"MNG",NA,"Asia"
"303",1961,"MNP",NA,"Oceania"
"304",1961,"MOZ",NA,"Africa"
"305",1961,"MRT",1064723148.13523,"Africa"
"306",1961,"MUS",NA,"Africa"
"307",1961,"MWI",704449114.113091,"Africa"
"308",1961,"MYS",10840538967.3442,"Asia"
"309",1961,"NAM",NA,"Africa"
"310",1961,"NCL",NA,"Oceania"
"311",1961,"NER",2720485689.88858,"Africa"
"312",1961,"NGA",64849076517.3445,"Africa"
"313",1961,"NIC",3204107550.28516,"Americas"
"314",1961,"NOR",72822359398.0792,"Europe"
"315",1961,"NPL",3382694562.90877,"Asia"
"316",1961,"NRU",NA,"Oceania"
"317",1961,"NZL",NA,"Oceania"
"318",1961,"OMN",NA,"Asia"
"319",1961,"PAK",18072863229.2013,"Asia"
"320",1961,"PAN",3404186055.06219,"Americas"
"321",1961,"PER",29536484548.7761,"Americas"
"322",1961,"PHL",33129655728.2504,"Asia"
"323",1961,"PLW",NA,"Oceania"
"324",1961,"PNG",2780578632.71552,"Oceania"
"325",1961,"PRI",15920199466.5943,"Americas"
"326",1961,"PRK",NA,"Asia"
"327",1961,"PRY",3036649321.17202,"Americas"
"328",1961,"PSE",NA,"Asia"
"329",1961,"PYF",NA,"Oceania"
"330",1961,"QAT",NA,"Asia"
"331",1961,"RUS",NA,"Europe"
"332",1961,"RWA",969696610.603538,"Africa"
"333",1961,"SAU",NA,"Asia"
"334",1961,"SDN",10297543758.6631,"Africa"
"335",1961,"SEN",3960500881.26313,"Africa"
"336",1961,"SGP",6426389292.98807,"Asia"
"337",1961,"SLB",NA,"Oceania"
"338",1961,"SLE",1172681464.40248,"Africa"
"339",1961,"SLV",NA,"Americas"
"340",1961,"SMR",NA,"Europe"
"341",1961,"SOM",NA,"Africa"
"342",1961,"SRB",NA,"Europe"
"343",1961,"SSD",NA,"Africa"
"344",1961,"STP",NA,"Africa"
"345",1961,"SUR",1089761066.29574,"Americas"
"346",1961,"SWZ",NA,"Africa"
"347",1961,"SXM",NA,"Americas"
"348",1961,"SYC",125492411.604237,"Africa"
"349",1961,"SYR",2655224778.99419,"Asia"
"350",1961,"TCA",NA,"Americas"
"351",1961,"TCD",1720682526.6067,"Africa"
"352",1961,"TGO",601000566.147887,"Africa"
"353",1961,"THA",16761795431.4479,"Asia"
"354",1961,"TJK",NA,"Asia"
"355",1961,"TKM",NA,"Asia"
"356",1961,"TLS",NA,"Asia"
"357",1961,"TON",NA,"Oceania"
"358",1961,"TTO",4204774783.53711,"Americas"
"359",1961,"TUN",NA,"Africa"
"360",1961,"TUR",69742281192.0531,"Asia"
"361",1961,"TUV",NA,"Oceania"
"362",1961,"TZA",NA,"Africa"
"363",1961,"UGA",NA,"Africa"
"364",1961,"UKR",NA,"Europe"
"365",1961,"URY",15956366696.0808,"Americas"
"366",1961,"USA",3536703362491.07,"Americas"
"367",1961,"UZB",NA,"Asia"
"368",1961,"VCT",155944450.683028,"Americas"
"369",1961,"VEN",NA,"Americas"
"370",1961,"VGB",NA,"Americas"
"371",1961,"VIR",NA,"Americas"
"372",1961,"VNM",NA,"Asia"
"373",1961,"VUT",NA,"Oceania"
"374",1961,"WSM",NA,"Oceania"
"375",1961,"YEM",NA,"Asia"
"376",1961,"ZAF",68177004390.1219,"Africa"
"377",1961,"ZMB",3796691708.18908,"Africa"
"378",1961,"ZWE",4676688327.39122,"Africa"
"379",1962,"ABW",NA,"Americas"
"380",1962,"AFG",NA,"Asia"
"381",1962,"AGO",NA,"Africa"
"382",1962,"ALB",NA,"Europe"
"383",1962,"AND",NA,"Europe"
"384",1962,"ARE",NA,"Asia"
"385",1962,"ARG",157628310157.913,"Americas"
"386",1962,"ARM",NA,"Asia"
"387",1962,"ASM",NA,"Oceania"
"388",1962,"ATG",NA,"Americas"
"389",1962,"AUS",212860782121.407,"Oceania"
"390",1962,"AZE",NA,"Asia"
"391",1962,"BDI",751286947.842861,"Africa"
"392",1962,"BEN",1644635642.82313,"Africa"
"393",1962,"BFA",1288368209.87141,"Africa"
"394",1962,"BGD",24881849659.0784,"Asia"
"395",1962,"BHR",NA,"Asia"
"396",1962,"BHS",2691190370.18633,"Americas"
"397",1962,"BIH",NA,"Europe"
"398",1962,"BLR",NA,"Europe"
"399",1962,"BLZ",121056985.731217,"Americas"
"400",1962,"BMU",1841995307.62752,"Americas"
"401",1962,"BOL",5095783590.38704,"Americas"
"402",1962,"BRA",218180065010.015,"Americas"
"403",1962,"BRB",NA,"Americas"
"404",1962,"BRN",NA,"Asia"
"405",1962,"BTN",NA,"Asia"
"406",1962,"BWA",203905557.028968,"Africa"
"407",1962,"CAF",990722160.320593,"Africa"
"408",1962,"CAN",NA,"Americas"
"409",1962,"CHE",NA,"Europe"
"410",1962,"CHL",29653173467.0456,"Americas"
"411",1962,"CHN",109124199809.477,"Asia"
"412",1962,"CIV",6112405687.72689,"Africa"
"413",1962,"CMR",5033033582.89928,"Africa"
"414",1962,"COD",20710800884.3965,"Africa"
"415",1962,"COG",1428895498.43613,"Africa"
"416",1962,"COL",33904535097.0798,"Americas"
"417",1962,"COM",NA,"Africa"
"418",1962,"CPV",NA,"Africa"
"419",1962,"CRI",5147192571.92939,"Americas"
"420",1962,"CUB",NA,"Americas"
"421",1962,"CUW",NA,"Americas"
"422",1962,"CYM",NA,"Americas"
"423",1962,"DJI",NA,"Africa"
"424",1962,"DMA",NA,"Americas"
"425",1962,"DOM",5180635534.24653,"Americas"
"426",1962,"DZA",16652382861.0539,"Africa"
"427",1962,"ECU",12886220692.1956,"Americas"
"428",1962,"EGY",22172696193.3495,"Africa"
"429",1962,"ERI",NA,"Africa"
"430",1962,"ETH",NA,"Africa"
"431",1962,"EUR",2142535271969.86,"Europe"
"432",1962,"FJI",927123512.318707,"Oceania"
"433",1962,"FRO",NA,"Europe"
"434",1962,"FSM",NA,"Oceania"
"435",1962,"GAB",2091971264.2585,"Africa"
"436",1962,"GBR",811312936981.779,"Europe"
"437",1962,"GEO",NA,"Asia"
"438",1962,"GHA",8246074763.86567,"Africa"
"439",1962,"GIB",NA,"Europe"
"440",1962,"GIN",NA,"Africa"
"441",1962,"GMB",NA,"Africa"
"442",1962,"GNB",NA,"Africa"
"443",1962,"GNQ",NA,"Africa"
"444",1962,"GRD",NA,"Americas"
"445",1962,"GRL",NA,"Americas"
"446",1962,"GTM",8269883724.77256,"Americas"
"447",1962,"GUM",NA,"Oceania"
"448",1962,"GUY",1646812064.97173,"Americas"
"449",1962,"HKG",14324123809.2792,"Asia"
"450",1962,"HND",2661864686.32059,"Americas"
"451",1962,"HTI",7002993622.73423,"Americas"
"452",1962,"IDN",56835343100.146,"Asia"
"453",1962,"IMN",NA,"Europe"
"454",1962,"IND",145590642182.681,"Asia"
"455",1962,"IRN",63435700217.0601,"Asia"
"456",1962,"IRQ",NA,"Asia"
"457",1962,"ISL",NA,"Europe"
"458",1962,"ISR",NA,"Asia"
"459",1962,"JAM",NA,"Americas"
"460",1962,"JOR",NA,"Asia"
"461",1962,"JPN",712134720319.541,"Asia"
"462",1962,"KAZ",NA,"Asia"
"463",1962,"KEN",6159866300.79428,"Africa"
"464",1962,"KGZ",NA,"Asia"
"465",1962,"KHM",NA,"Asia"
"466",1962,"KIR",NA,"Oceania"
"467",1962,"KNA",NA,"Americas"
"468",1962,"KOR",28552434121.6851,"Asia"
"469",1962,"KWT",NA,"Asia"
"470",1962,"LAO",NA,"Asia"
"471",1962,"LBN",NA,"Asia"
"472",1962,"LBR",NA,"Africa"
"473",1962,"LBY",NA,"Africa"
"474",1962,"LCA",NA,"Americas"
"475",1962,"LIE",NA,"Europe"
"476",1962,"LKA",6481864100.31966,"Asia"
"477",1962,"LSO",227355280.838061,"Africa"
"478",1962,"MAC",NA,"Asia"
"479",1962,"MAF",NA,"Americas"
"480",1962,"MAR",NA,"Africa"
"481",1962,"MCO",NA,"Europe"
"482",1962,"MDA",NA,"Europe"
"483",1962,"MDG",4332696341.41394,"Africa"
"484",1962,"MDV",NA,"Asia"
"485",1962,"MEX",155328934667.195,"Americas"
"486",1962,"MHL",NA,"Oceania"
"487",1962,"MKD",NA,"Europe"
"488",1962,"MLI",NA,"Africa"
"489",1962,"MMR",3295106647.11774,"Asia"
"490",1962,"MNE",NA,"Europe"
"491",1962,"MNG",NA,"Asia"
"492",1962,"MNP",NA,"Oceania"
"493",1962,"MOZ",NA,"Africa"
"494",1962,"MRT",1072459515.72402,"Africa"
"495",1962,"MUS",NA,"Africa"
"496",1962,"MWI",709157403.624304,"Africa"
"497",1962,"MYS",11536613184.2457,"Asia"
"498",1962,"NAM",NA,"Africa"
"499",1962,"NCL",NA,"Oceania"
"500",1962,"NER",3000116619.60562,"Africa"
"501",1962,"NGA",67509829320.9721,"Africa"
"502",1962,"NIC",3553060441.91004,"Americas"
"503",1962,"NOR",74871540640.0627,"Europe"
"504",1962,"NPL",3447314854.82201,"Asia"
"505",1962,"NRU",NA,"Oceania"
"506",1962,"NZL",NA,"Oceania"
"507",1962,"OMN",NA,"Asia"
"508",1962,"PAK",18883044137.7017,"Asia"
"509",1962,"PAN",3684852236.08667,"Americas"
"510",1962,"PER",32500557413.8627,"Americas"
"511",1962,"PHL",34735216308.374,"Asia"
"512",1962,"PLW",NA,"Oceania"
"513",1962,"PNG",2957815476.34432,"Oceania"
"514",1962,"PRI",17245287423.6484,"Americas"
"515",1962,"PRK",NA,"Asia"
"516",1962,"PRY",3136866599.04762,"Americas"
"517",1962,"PSE",NA,"Asia"
"518",1962,"PYF",NA,"Oceania"
"519",1962,"QAT",NA,"Asia"
"520",1962,"RUS",NA,"Europe"
"521",1962,"RWA",1079600069.24412,"Africa"
"522",1962,"SAU",NA,"Asia"
"523",1962,"SDN",11009705630.7702,"Africa"
"524",1962,"SEN",3955105278.58033,"Africa"
"525",1962,"SGP",6911841722.43236,"Asia"
"526",1962,"SLB",NA,"Oceania"
"527",1962,"SLE",1225932543.46987,"Africa"
"528",1962,"SLV",NA,"Americas"
"529",1962,"SMR",NA,"Europe"
"530",1962,"SOM",NA,"Africa"
"531",1962,"SRB",NA,"Europe"
"532",1962,"SSD",NA,"Africa"
"533",1962,"STP",NA,"Africa"
"534",1962,"SUR",1132261747.88128,"Americas"
"535",1962,"SWZ",NA,"Africa"
"536",1962,"SXM",NA,"Americas"
"537",1962,"SYC",136044543.02382,"Africa"
"538",1962,"SYR",3306320337.63022,"Asia"
"539",1962,"TCA",NA,"Americas"
"540",1962,"TCD",1812913107.89905,"Africa"
"541",1962,"TGO",623680241.035491,"Africa"
"542",1962,"THA",18028024108.366,"Asia"
"543",1962,"TJK",NA,"Asia"
"544",1962,"TKM",NA,"Asia"
"545",1962,"TLS",NA,"Asia"
"546",1962,"TON",NA,"Oceania"
"547",1962,"TTO",4320089182.25291,"Americas"
"548",1962,"TUN",NA,"Africa"
"549",1962,"TUR",73627922579.9898,"Asia"
"550",1962,"TUV",NA,"Oceania"
"551",1962,"TZA",NA,"Africa"
"552",1962,"UGA",NA,"Africa"
"553",1962,"UKR",NA,"Europe"
"554",1962,"URY",15705125907.712,"Americas"
"555",1962,"USA",3752442267603.03,"Americas"
"556",1962,"UZB",NA,"Asia"
"557",1962,"VCT",161705446.955314,"Americas"
"558",1962,"VEN",NA,"Americas"
"559",1962,"VGB",NA,"Americas"
"560",1962,"VIR",NA,"Americas"
"561",1962,"VNM",NA,"Asia"
"562",1962,"VUT",NA,"Oceania"
"563",1962,"WSM",NA,"Oceania"
"564",1962,"YEM",NA,"Asia"
"565",1962,"ZAF",72388900019.2313,"Africa"
"566",1962,"ZMB",3702122212.39459,"Africa"
"567",1962,"ZWE",4743774059.93546,"Africa"
"568",1963,"ABW",NA,"Americas"
"569",1963,"AFG",NA,"Asia"
"570",1963,"AGO",NA,"Africa"
"571",1963,"ALB",NA,"Europe"
"572",1963,"AND",NA,"Europe"
"573",1963,"ARE",NA,"Asia"
"574",1963,"ARG",149261089200.418,"Americas"
"575",1963,"ARM",NA,"Asia"
"576",1963,"ASM",NA,"Oceania"
"577",1963,"ATG",NA,"Americas"
"578",1963,"AUS",226089971117.828,"Oceania"
"579",1963,"AZE",NA,"Asia"
"580",1963,"BDI",782355724.027755,"Africa"
"581",1963,"BEN",1722427368.82308,"Africa"
"582",1963,"BFA",1272031490.03047,"Africa"
"583",1963,"BGD",24768414727.2515,"Asia"
"584",1963,"BHR",NA,"Asia"
"585",1963,"BHS",2974412730.38912,"Americas"
"586",1963,"BIH",NA,"Europe"
"587",1963,"BLR",NA,"Europe"
"588",1963,"BLZ",127057095.567334,"Americas"
"589",1963,"BMU",1861704657.41911,"Americas"
"590",1963,"BOL",5442175889.28135,"Americas"
"591",1963,"BRA",219489145400.075,"Americas"
"592",1963,"BRB",NA,"Americas"
"593",1963,"BRN",NA,"Asia"
"594",1963,"BTN",NA,"Asia"
"595",1963,"BWA",215978897.014751,"Africa"
"596",1963,"CAF",983717648.122338,"Africa"
"597",1963,"CAN",NA,"Americas"
"598",1963,"CHE",NA,"Europe"
"599",1963,"CHL",31384960352.5815,"Americas"
"600",1963,"CHN",120363992384.698,"Asia"
"601",1963,"CIV",6998115023.78631,"Africa"
"602",1963,"CMR",5221397397.37396,"Africa"
"603",1963,"COD",21790659999.2536,"Africa"
"604",1963,"COG",1371321006.43103,"Africa"
"605",1963,"COL",35018878013.1585,"Americas"
"606",1963,"COM",NA,"Africa"
"607",1963,"CPV",NA,"Africa"
"608",1963,"CRI",5502293447.03228,"Americas"
"609",1963,"CUB",NA,"Americas"
"610",1963,"CUW",NA,"Americas"
"611",1963,"CYM",NA,"Americas"
