"","sector","year","co2e_emissions","sector_number"
"83","3.B.5.b.       Suínos ",1990,0.305565516969412,3
"84","3.B.5.c.vii.           Aves",1990,0.426232253894202,3
"85","3.C.   Cultivo de Arroz",1990,9.27136286670853,3
"86","3.D.   Solos Manejados",1990,70.9615325154272,3
"87","3.D.1.     Emissões diretas",1990,55.3795790056363,3
"88","3.D.1.a.       Fertilizantes sintéticos",1990,3.10847343282613,3
"89","3.D.1.b.       Adubos orgânicos",1990,2.13468283897219,3
"90","3.D.1.c.       Deposição de dejetos em pastagem",1990,35.8303883191006,3
"91","3.D.1.c.i.         Bovinos",1990,32.126879135637,3
"92","3.D.1.c.i.1.           Bovinos de corte",1990,23.217186450552,3
"93","3.D.1.c.i.2.           Bovino de leite",1990,8.90969268508506,3
"94","3.D.1.c.ii.          Suínos ",1990,0.781294513757455,3
"95","3.D.1.c.iii.           Outros animais",1990,2.92221466970611,3
"96","3.D.1.d.       Resíduos agrícolas",1990,12.1010241444623,3
"97","3.D.1.d.i.         Soja",1990,1.5174006986636,3
"98","3.D.1.d.ii.          Milho",1990,1.14349612332036,3
"99","3.D.1.d.iii.           Cana-de-açúcar",1990,0.543734307808844,3
"100","3.D.1.d.iv.          Arroz",1990,0.338625801787956,3
"101","3.D.1.d.ix.          Outras culturas temporárias",1990,0.28324169151494,3
"102","3.D.1.d.v.         Feijão",1990,0.244252270817682,3
"103","3.D.1.d.vi.          Mandioca",1990,0.261373722232781,3
"104","3.D.1.d.vii.           Trigo",1990,0.123012489548013,3
"105","3.D.1.d.viii.            Pastagens",1990,7.64588703876813,3
"106","3.D.1.e.       Mineralização de N associada a perda de C do solo",1990,0.769558991268882,3
"107","3.D.1.f.       Manejo de solos orgânicos",1990,1.43545127900617,3
"108","3.D.2.     Emissões indiretas",1990,15.5819535097909,3
"109","3.D.2.a.       Deposição atmosferica",1990,5.94258241035948,3
"110","3.D.2.a.i.         Fertilizantes sintéticos",1990,0.646863393689074,3
"111","3.D.2.a.ii.          Adubos orgânicos",1990,0.401229765603797,3
"112","3.D.2.a.iii.           Deposição de dejetos diretamente no solo",1990,4.89448925106661,3
"113","3.D.2.a.iii.1.             Bovinos",1990,4.28358388475161,3
"114","3.D.2.a.iii.1.a.               Bovinos de corte",1990,3.0956248600736,3
"115","3.D.2.a.iii.1.b.               Bovino de leite",1990,1.18795902467801,3
"116","3.D.2.a.iii.2.             Suínos ",1990,0.0781294513757455,3
"117","3.D.2.a.iii.3.             Outros animais",1990,0.532775914939255,3
"118","3.D.2.b.       Lixiviação / escorrimento superficial",1990,9.63937109943144,3
"119","3.D.2.b.i.         Fertilizantes sintéticos",1990,0.730190322321428,3
"120","3.D.2.b.ii.          Adubos orgânicos",1990,0.506999164120562,3
"121","3.D.2.b.iii.           Deposição de dejetos diretamente no solo",1990,5.50630040744993,3
"122","3.D.2.b.iii.1.             Bovinos",1990,4.81903187034556,3
"123","3.D.2.b.iii.2.             Suínos ",1990,0.0878956327977136,3
"124","3.D.2.b.iii.3.             Outros animais",1990,0.599372904306662,3
"125","3.D.2.b.iv.          Resíduos agrícolas",1990,2.72273043250402,3
"126","3.D.2.b.iv.1.            Soja",1990,0.341415157199309,3
"127","3.D.2.b.iv.2.            Milho",1990,0.257286627747082,3
"128","3.D.2.b.iv.3.            Cana-de-açúcar",1990,0.12234021925699,3
"129","3.D.2.b.iv.4.            Arroz",1990,0.0761908054022901,3
"130","3.D.2.b.iv.5.            Feijão",1990,0.0549567609339785,3
"131","3.D.2.b.iv.6.            Mandioca",1990,0.0588090875023757,3
"132","3.D.2.b.iv.7.            Trigo",1990,0.027677810148303,3
"133","3.D.2.b.iv.8.            Pastagens",1990,1.72032458372283,3
"134","3.D.2.b.iv.9.            Outras",1990,0.0637293805908615,3
"135","3.D.2.b.v.         Mineralização de N associada a perda de C do solo",1990,0.173150773035499,3
"136","3.E.   Queima prescrita de savanas",1990,NA,3
"137","3.F.   Queima de resíduos agrícolas",1990,1.84766849575673,3
"138","3.G.   Calagem",1990,9.14070612764117,3
"139","3.H.   Aplicação de Ureia",1990,0.630703153270026,3
"140","3.I.   Outros fertilizantes Contendo Carbono",1990,NA,3
"141","3.J.   Outro",1990,NA,3
"142","4. Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)",1990,916.026059869393,4
"143","4.A.   Floresta",1990,-43.6618150195137,4
"144","4.A.1.     Floresta permanecendo Floresta",1990,-20.1923716933238,4
"145","4.A.2.     Área convertida para floresta",1990,-23.4694433261899,4
"146","4.B.   Agricultura",1990,79.5001314091873,4
"147","4.B.1.     Agricultura permanecendo agricultura",1990,0,4
"148","4.B.2.     Área convertida para agricultura",1990,79.5001314091873,4
"149","4.C.   Campos/Pastagem permanecendo Campos/Pastagem",1990,876.641022699008,4
"150","4.C.1.     Campos/Pastagem permanecendo Campos/Pastagem",1990,17.4720877872161,4
"151","4.C.2.     Área convertida para Campos/Pastagem",1990,859.168934911792,4
"152","4.D.   Área Alagada",1990,6.40801139323378,4
"153","4.D.1.     Área alagada permanecendo área alagada",1990,0,4
"154","4.D.2.     Área convertida para área alagada",1990,6.40801139323378,4
"155","4.E.   Assentamentos",1990,6.88798692703848,4
"156","4.E.1.     Assentamentos permanecendo assentamentos",1990,0,4
"157","4.E.2.     Área convertida para assentamentos",1990,6.88798692703848,4
"158","4.F.   Outras Terras",1990,1.27528669145528,4
"159","4.F.1.     Outras terras permanecendo outras terras",1990,0,4
"160","4.F.2.     Área convertida para outras terras",1990,1.27528669145528,4
"161","4.G.   Produtos Florestais Madeireiros",1990,-11.0245642310164,4
"162","5. Resíduos",1990,33.9761355332723,5
"163","5.A.   Disposição de Resíduos Sólidos",1990,14.6372891593478,5
"164","5.A.1.     Locais Manejados",1990,5.0762632308995,5
"165","5.A.3.     Locais Não Categorizados",1990,9.56102592844831,5
"166","5.B.   Tratamento Biológico de Resíduos Sólidos",1990,0.0209892304631326,5
"167","5.C.   Incineração e Queima a Céu Aberto de Resíduos Sólidos",1990,1.14721917161842,5
"168","5.D.   Tratamento e Despejo de Águas Residuárias",1990,18.170637971843,5
"169","5.D.1.     Águas residuárias domésticas",1990,16.462812128176,5
"170","5.D.2.     Águas residuárias industriais",1990,1.70782584366702,5
"171","5.E.   Outro",1990,NA,5
"172","1. Energia",1991,199.709934703371,1
"173","1.A.   Atividades de Queima de Combustíveis (abordagem setorial)",1991,190.790422316068,1
"174","1.A.1.     Indústrias de Energia",1991,23.4339712575221,1
"175","1.A.1.a.       Produção de eletricidade e calor como atividade principal",1991,7.17804296687082,1
"176","1.A.1.b.       Refino de petróleo",1991,10.0625650999428,1
"177","1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia",1991,6.19336319070851,1
"178","1.A.2.     Indústrias de Transformação e Construção",1991,39.5626105710122,1
"179","1.A.2.a.       Ferro e aço",1991,4.96034503856217,1
"180","1.A.2.b.       Metais não ferrosos",1991,1.33601294179705,1
"181","1.A.2.c.       Produtos quimicos",1991,9.61371558262324,1
"182","1.A.2.d.       Celulose, papel e impressão",1991,2.96758027130617,1
"183","1.A.2.e.       Processamento de alimentos, bebidas e tabaco",1991,3.85938926172431,1
"184","1.A.2.f.       Minerais não metálicos",1991,8.6597297506297,1
"185","1.A.2.g.       Equipamentos de transporte",1991,4.16616671178603,1
"186","1.A.2.i.       Mineração (exceto combustíveis) e extração",1991,2.43338068447766,1
"187","1.A.2.l.       Têxtil e couro",1991,1.56629032810587,1
"188","1.A.3.     Transporte",1991,89.0955731571937,1
