"","year","iso3c","gdp"
"758",2046,"EUR",24680186710000
"759",2047,"EUR",24899392290000
"760",2048,"EUR",25123059060000
"761",2049,"EUR",25351995740000
"762",2050,"EUR",25587129260000
"763",2051,"EUR",25829484460000
"764",2052,"EUR",26079673090000
"765",2053,"EUR",26338358090000
"766",2054,"EUR",26606228870000
"767",2055,"EUR",26884078280000
"768",2056,"EUR",27172568210000
"769",2057,"EUR",27471615390000
"770",2058,"EUR",27780661220000
"771",2059,"EUR",28098810920000
"772",2060,"EUR",28425131880000
"773",1995,"G20",40031437563005.4
"774",1996,"G20",41537169378908.5
"775",1997,"G20",43218634149676.4
"776",1998,"G20",44255614761187.7
"777",1999,"G20",45842176887470
"778",2000,"G20",48035906573154.3
"779",2001,"G20",49061710927880.8
"780",2002,"G20",50331736810089.3
"781",2003,"G20",52131303624983.3
"782",2004,"G20",54582317859729.9
"783",2005,"G20",57083385349790.2
"784",2006,"G20",59923542006470.8
"785",2007,"G20",62927866337192.8
"786",2008,"G20",64586189783464.4
"787",2009,"G20",64173530580305.7
"788",2010,"G20",67664787117358
"789",2011,"G20",70561181650656
"790",2012,"G20",72992585202690.3
"791",2013,"G20",75548773509187.6
"792",2014,"G20",78247192267897.7
"793",2015,"G20",80998274896304.8
"794",2016,"G20",83658644839411
"795",2017,"G20",86848108270737.2
"796",2018,"G20",90121142052314.1
"797",2019,"G20",92737085710294.2
"798",2020,"G20",89940512532905.5
"799",2021,"G20",95638954641749
"800",2022,"G20",100145159330869
"801",2023,"G20",1.040131e+14
"802",2024,"G20",1.075659e+14
"803",2025,"G20",1.109852e+14
"804",2026,"G20",1.143436e+14
"805",2027,"G20",1.176746e+14
"806",2028,"G20",1.209951e+14
"807",2029,"G20",1.243035e+14
"808",2030,"G20",1.27596e+14
"809",2031,"G20",1.308684e+14
"810",2032,"G20",1.341171e+14
"811",2033,"G20",1.373381e+14
"812",2034,"G20",1.405261e+14
"813",2035,"G20",1.436766e+14
"814",2036,"G20",1.467865e+14
"815",2037,"G20",1.498556e+14
"816",2038,"G20",1.528853e+14
"817",2039,"G20",1.558773e+14
"818",2040,"G20",1.588339e+14
"819",2041,"G20",1.617586e+14
"820",2042,"G20",1.646548e+14
"821",2043,"G20",1.675269e+14
"822",2044,"G20",1.703783e+14
"823",2045,"G20",1.732126e+14
"824",2046,"G20",1.760347e+14
"825",2047,"G20",1.788523e+14
"826",2048,"G20",1.816742e+14
"827",2049,"G20",1.845089e+14
"828",2050,"G20",1.873632e+14
"829",2051,"G20",1.902434e+14
"830",2052,"G20",1.931533e+14
"831",2053,"G20",1.960958e+14
"832",2054,"G20",1.990715e+14
"833",2055,"G20",2.020803e+14
"834",2056,"G20",2.051235e+14
"835",2057,"G20",2.082039e+14
"836",2058,"G20",2.113245e+14
"837",2059,"G20",2.14487e+14
"838",2060,"G20",2.176924e+14
"839",1990,"G7M",22931070081696.3
"840",1991,"G7M",23208528543884.4
"841",1992,"G7M",23686823608613.6
"842",1993,"G7M",23980673944526.1
"843",1994,"G7M",24702067199703.5
"844",1995,"G7M",25325204144971.3
"845",1996,"G7M",26017475515568.3
"846",1997,"G7M",26852056710033.9
"847",1998,"G7M",27609413576335.5
"848",1999,"G7M",28472605039488
"849",2000,"G7M",29551174112703.2
"850",2001,"G7M",29931412433318.7
"851",2002,"G7M",30285182546861.9
"852",2003,"G7M",30859426736891.4
"853",2004,"G7M",31720915913649.5
"854",2005,"G7M",32545182007645.2
"855",2006,"G7M",33404036687493.8
"856",2007,"G7M",34069655828122.2
"857",2008,"G7M",33996481646683.9
"858",2009,"G7M",32743005464157.6
"859",2010,"G7M",33662654452073.3
"860",2011,"G7M",34213355400399.3
"861",2012,"G7M",34679077472329.4
"862",2013,"G7M",35177471041718
"863",2014,"G7M",35858648619676.2
"864",2015,"G7M",36647050891992.8
"865",2016,"G7M",37204676731625.7
"866",2017,"G7M",38044807382554.4
"867",2018,"G7M",38842246424758.7
"868",2019,"G7M",39412498651131.3
"869",2020,"G7M",37420811136283.9
"870",2021,"G7M",39550117396184.8
"871",2022,"G7M",41000735353724.5
"872",2023,"G7M",4.176113e+13
"873",2024,"G7M",4.233623e+13
"874",2025,"G7M",4.287714e+13
"875",2026,"G7M",4.342366e+13
"876",2027,"G7M",4.398281e+13
"877",2028,"G7M",4.455264e+13
"878",2029,"G7M",4.512722e+13
"879",2030,"G7M",4.570247e+13
"880",2031,"G7M",4.627642e+13
"881",2032,"G7M",4.684799e+13
"882",2033,"G7M",4.741752e+13
"883",2034,"G7M",4.798566e+13
"884",2035,"G7M",4.855332e+13
"885",2036,"G7M",4.912173e+13
"886",2037,"G7M",4.969217e+13
"887",2038,"G7M",5.026577e+13
"888",2039,"G7M",5.084336e+13
"889",2040,"G7M",5.142567e+13
"890",2041,"G7M",5.20135e+13
"891",2042,"G7M",5.260751e+13
"892",2043,"G7M",5.320788e+13
"893",2044,"G7M",5.381426e+13
"894",2045,"G7M",5.442628e+13
"895",2046,"G7M",5.504416e+13
"896",2047,"G7M",5.566876e+13
"897",2048,"G7M",5.630077e+13
"898",2049,"G7M",5.69409e+13
"899",2050,"G7M",5.759002e+13
"900",2051,"G7M",5.82492e+13
"901",2052,"G7M",5.891859e+13
"902",2053,"G7M",5.959824e+13
"903",2054,"G7M",6.028799e+13
"904",2055,"G7M",6.098798e+13
"905",2056,"G7M",6.169897e+13
"906",2057,"G7M",6.242195e+13
"907",2058,"G7M",6.315744e+13
"908",2059,"G7M",6.390583e+13
"909",2060,"G7M",6.466772e+13
"910",1990,"GBR",1655620830969.61
"911",1991,"GBR",1637357659629.21
"912",1992,"GBR",1643924101719.52
"913",1993,"GBR",1684866044451.13
"914",1994,"GBR",1749666602567.87
"915",1995,"GBR",1793958217328.2
"916",1996,"GBR",1838655318702.53
"917",1997,"GBR",1930135268649.65
"918",1998,"GBR",2001700265664.87
"919",1999,"GBR",2067658969495.19
"920",2000,"GBR",2140156992565.38
"921",2001,"GBR",2198589105399.99
"922",2002,"GBR",2246492127695.73
"923",2003,"GBR",2321117938382.55
"924",2004,"GBR",2374185151401.12
"925",2005,"GBR",2444358746189.03
"926",2006,"GBR",2510204890190.04
"927",2007,"GBR",2569458825392.83
"928",2008,"GBR",2562297036735.47
"929",2009,"GBR",2456885434662.43
"930",2010,"GBR",2507842489917.16
"931",2011,"GBR",2539835248147.74
"932",2012,"GBR",2576163594020.36
"933",2013,"GBR",2632482836806.08
"934",2014,"GBR",2707843676739.69
"935",2015,"GBR",2771831905485.9
"936",2016,"GBR",2819573546821.56
"937",2017,"GBR",2868642851686.01
"938",2018,"GBR",2904575203942.28
"939",2019,"GBR",2946234546067.89
"940",2020,"GBR",2656128537815.3
"941",2021,"GBR",2848040890525.92
"942",2022,"GBR",3005308580463.65
"943",2023,"GBR",3.075237e+12
"944",2024,"GBR",3.121279e+12
"945",2025,"GBR",3.162138e+12
"946",2026,"GBR",3.202893e+12
"947",2027,"GBR",3.244768e+12
"948",2028,"GBR",3.287691e+12
"949",2029,"GBR",3.33114e+12
"950",2030,"GBR",3.374652e+12
"951",2031,"GBR",3.417955e+12
"952",2032,"GBR",3.460916e+12
"953",2033,"GBR",3.503551e+12
"954",2034,"GBR",3.545934e+12
"955",2035,"GBR",3.588162e+12
"956",2036,"GBR",3.630335e+12
"957",2037,"GBR",3.672596e+12
"958",2038,"GBR",3.715014e+12
"959",2039,"GBR",3.757626e+12
"960",2040,"GBR",3.800457e+12
"961",2041,"GBR",3.843554e+12
"962",2042,"GBR",3.886992e+12
"963",2043,"GBR",3.930816e+12
"964",2044,"GBR",3.97504e+12
"965",2045,"GBR",4.019669e+12
"966",2046,"GBR",4.064725e+12
"967",2047,"GBR",4.11019e+12
"968",2048,"GBR",4.156066e+12
"969",2049,"GBR",4.20237e+12
"970",2050,"GBR",4.249172e+12
"971",2051,"GBR",4.296597e+12
"972",2052,"GBR",4.34471e+12
"973",2053,"GBR",4.393623e+12
"974",2054,"GBR",4.443458e+12
"975",2055,"GBR",4.494356e+12
"976",2056,"GBR",4.546474e+12
"977",2057,"GBR",4.599875e+12
"978",2058,"GBR",4.6546e+12
"979",2059,"GBR",4.710636e+12
"980",2060,"GBR",4.767945e+12
"981",1990,"IDN",801782693179.731
"982",1991,"IDN",873363651809.185
"983",1992,"IDN",930342926928.107
"984",1993,"IDN",1004355773652.66
"985",1994,"IDN",1080083885718.69
"986",1995,"IDN",1168868358791.22
"987",1996,"IDN",1260250398997.53
"988",1997,"IDN",1319480959877.13
"989",1998,"IDN",1146276011792.75
"990",1999,"IDN",1155344807260.24
"991",2000,"IDN",1212188249932.02
"992",2001,"IDN",1256353922098.56
"993",2002,"IDN",1312883257736.6
"994",2003,"IDN",1375643923593.09
"995",2004,"IDN",1444850835408.57
"996",2005,"IDN",1527099999268.85
"997",2006,"IDN",1611105033945.26
"998",2007,"IDN",1713330006824.89
"999",2008,"IDN",1816364576323.67
"1000",2009,"IDN",1901765834128.12
"1001",2010,"IDN",2023053340446.52
"1002",2011,"IDN",2147871365958.94
"1003",2012,"IDN",2277389097288.75
"1004",2013,"IDN",2403949614647.58
"1005",2014,"IDN",2524307400975.2
"1006",2015,"IDN",2647400765695.09
"1007",2016,"IDN",2780646277778.54
"1008",2017,"IDN",2921619090735.75
"1009",2018,"IDN",3072792180165.57
"1010",2019,"IDN",3226989799478.86
"1011",2020,"IDN",3160205841868.28
"1012",2021,"IDN",3310046156996.58
"1013",2022,"IDN",3480276954473.47
"1014",2023,"IDN",3.737179e+12
"1015",2024,"IDN",3.993958e+12
"1016",2025,"IDN",4.233448e+12
"1017",2026,"IDN",4.458111e+12
"1018",2027,"IDN",4.674147e+12
"1019",2028,"IDN",4.886496e+12
"1020",2029,"IDN",5.097727e+12
"1021",2030,"IDN",5.309205e+12
"1022",2031,"IDN",5.521658e+12
"1023",2032,"IDN",5.735561e+12
"1024",2033,"IDN",5.951116e+12
"1025",2034,"IDN",6.168401e+12
"1026",2035,"IDN",6.387423e+12
"1027",2036,"IDN",6.608069e+12
"1028",2037,"IDN",6.830311e+12
"1029",2038,"IDN",7.054244e+12
"1030",2039,"IDN",7.279759e+12
"1031",2040,"IDN",7.506742e+12
"1032",2041,"IDN",7.735161e+12
"1033",2042,"IDN",7.964976e+12
"1034",2043,"IDN",8.196275e+12
"1035",2044,"IDN",8.429064e+12
"1036",2045,"IDN",8.663025e+12
"1037",2046,"IDN",8.89784e+12
"1038",2047,"IDN",9.133414e+12
"1039",2048,"IDN",9.369851e+12
"1040",2049,"IDN",9.607234e+12
"1041",2050,"IDN",9.845591e+12
"1042",2051,"IDN",1.008497e+13
"1043",2052,"IDN",1.032557e+13
"1044",2053,"IDN",1.056762e+13
"1045",2054,"IDN",1.081121e+13
"1046",2055,"IDN",1.105636e+13
"1047",2056,"IDN",1.13032e+13
"1048",2057,"IDN",1.155227e+13
"1049",2058,"IDN",1.180431e+13
"1050",2059,"IDN",1.206003e+13
"1051",2060,"IDN",1.231985e+13
"1052",1990,"IND",1569648772912.61
"1053",1991,"IND",1656504122981.37
"1054",1992,"IND",1674011043670.87
"1055",1993,"IND",1765785969849.95
"1056",1994,"IND",1849674875654.82
"1057",1995,"IND",1972843556763.24
"1058",1996,"IND",2133542913919.73
"1059",1997,"IND",2230187080610.09
"1060",1998,"IND",2359045895577.11
"1061",1999,"IND",2545857328703.76
"1062",2000,"IND",2691113663498.44
"1063",2001,"IND",2793105168883.5
"1064",2002,"IND",2920580606192.28
"1065",2003,"IND",3117601672495.96
"1066",2004,"IND",3361676697058.32
"1067",2005,"IND",3630663817211.91
"1068",2006,"IND",3924331799369.71
"1069",2007,"IND",4235580203457.9
"1070",2008,"IND",4434530261715.28
"1071",2009,"IND",4659964760847.84
"1072",2010,"IND",5103273429329.85
"1073",2011,"IND",5402885675565.07
"1074",2012,"IND",5694939067462.23
"1075",2013,"IND",6042373454535.68
"1076",2014,"IND",6472117843743.7
"1077",2015,"IND",6962913913219.43
"1078",2016,"IND",7589675448070.43
"1079",2017,"IND",8067479562307.16
"1080",2018,"IND",8652072945847.7
"1081",2019,"IND",9058299481268.76
"1082",2020,"IND",8415911843257.74
"1083",2021,"IND",9091495024682.21
"1084",2022,"IND",9957662727052.13
"1085",2023,"IND",1.081524e+13
"1086",2024,"IND",1.163576e+13
"1087",2025,"IND",1.245062e+13
"1088",2026,"IND",1.326954e+13
"1089",2027,"IND",1.409352e+13
"1090",2028,"IND",1.492352e+13
"1091",2029,"IND",1.576018e+13
"1092",2030,"IND",1.660291e+13
"1093",2031,"IND",1.745059e+13
"1094",2032,"IND",1.830173e+13
"1095",2033,"IND",1.915504e+13
"1096",2034,"IND",2.000902e+13
"1097",2035,"IND",2.086209e+13
"1098",2036,"IND",2.171283e+13
"1099",2037,"IND",2.256055e+13
"1100",2038,"IND",2.34049e+13
"1101",2039,"IND",2.424572e+13
"1102",2040,"IND",2.508299e+13
"1103",2041,"IND",2.591695e+13
"1104",2042,"IND",2.674803e+13
"1105",2043,"IND",2.757682e+13
"1106",2044,"IND",2.840363e+13
"1107",2045,"IND",2.922865e+13
"1108",2046,"IND",3.005237e+13
"1109",2047,"IND",3.087603e+13
"1110",2048,"IND",3.17014e+13
"1111",2049,"IND",3.253004e+13
"1112",2050,"IND",3.336321e+13
"1113",2051,"IND",3.420214e+13
"1114",2052,"IND",3.504831e+13
"1115",2053,"IND",3.59036e+13
"1116",2054,"IND",3.676926e+13
"1117",2055,"IND",3.764561e+13
"1118",2056,"IND",3.853272e+13
"1119",2057,"IND",3.943112e+13
"1120",2058,"IND",4.034179e+13
"1121",2059,"IND",4.126573e+13
"1122",2060,"IND",4.220387e+13
"1123",1990,"ISL",8388756091.06376
"1124",1991,"ISL",8370005081.14937
"1125",1992,"ISL",8087609969.90951
"1126",1993,"ISL",8193836639.8459
"1127",1994,"ISL",8489540563.5658
"1128",1995,"ISL",8499437984.59286
"1129",1996,"ISL",8887617818.12122
"1130",1997,"ISL",9400569031.28728
"1131",1998,"ISL",10092713215.3418
"1132",1999,"ISL",10499946476.1223
"1133",2000,"ISL",11023373297.9022
"1134",2001,"ISL",11465796117.4653
"1135",2002,"ISL",11529949433.7195
"1136",2003,"ISL",11777000321.4405
"1137",2004,"ISL",12695888931.9747
"1138",2005,"ISL",13473440906.5023
"1139",2006,"ISL",14324557232.6001
"1140",2007,"ISL",15535678508.7788
"1141",2008,"ISL",15878938765.16
"1142",2009,"ISL",14662007143.121
"1143",2010,"ISL",14246665480.7457
"1144",2011,"ISL",14509627465.7598
"1145",2012,"ISL",14663957169.3786
"1146",2013,"ISL",15331528000.3144
"1147",2014,"ISL",15590203843.6724
"1148",2015,"ISL",16281888762.8456
"1149",2016,"ISL",17308248088.4711
"1150",2017,"ISL",18034320235.7225
"1151",2018,"ISL",18884604858.2884
"1152",2019,"ISL",19369752538.3766
"1153",2020,"ISL",18081837274.0657
"1154",2021,"ISL",18595619971.3011
"1155",2022,"ISL",19471164531.7924
"1156",2023,"ISL",20155740000
"1157",2024,"ISL",20718900000
"1158",2025,"ISL",21193610000
"1159",2026,"ISL",21616730000
"1160",2027,"ISL",22016010000
"1161",2028,"ISL",22407430000
"1162",2029,"ISL",22795220000
"1163",2030,"ISL",23180800000
"1164",2031,"ISL",23564630000
"1165",2032,"ISL",23946500000
"1166",2033,"ISL",2.4327e+10
"1167",2034,"ISL",24707510000
"1168",2035,"ISL",25089710000
"1169",2036,"ISL",25475010000
"1170",2037,"ISL",25863960000
"1171",2038,"ISL",26256420000
"1172",2039,"ISL",26651990000
"1173",2040,"ISL",27050300000
"1174",2041,"ISL",27451040000
"1175",2042,"ISL",27853600000
"1176",2043,"ISL",28257220000
"1177",2044,"ISL",28661320000
"1178",2045,"ISL",29065760000
"1179",2046,"ISL",29470660000
"1180",2047,"ISL",29875880000
"1181",2048,"ISL",30281170000
"1182",2049,"ISL",30686480000
"1183",2050,"ISL",31092060000
"1184",2051,"ISL",31498310000
"1185",2052,"ISL",31904760000
"1186",2053,"ISL",32310940000
"1187",2054,"ISL",32716470000
"1188",2055,"ISL",33121380000
"1189",2056,"ISL",33526320000
"1190",2057,"ISL",33931570000
"1191",2058,"ISL",34337960000
"1192",2059,"ISL",34746680000
"1193",2060,"ISL",35159340000
"1194",1990,"ISR",103822083483.71
"1195",1991,"ISR",111843497207.591
"1196",1992,"ISR",120521731790.578
"1197",1993,"ISR",125483317886.683
"1198",1994,"ISR",134804024562.216
"1199",1995,"ISR",143705032982.743
"1200",1996,"ISR",152331738092.045
"1201",1997,"ISR",158282145364.152
"1202",1998,"ISR",164882473643.348
"1203",1999,"ISR",170818820039.04
"1204",2000,"ISR",186213595616.66
"1205",2001,"ISR",185904299964.457
"1206",2002,"ISR",185632877233.655
"1207",2003,"ISR",187729640199.119
"1208",2004,"ISR",196650611684.983
"1209",2005,"ISR",204566759291.356
"1210",2006,"ISR",215999157525.12
"1211",2007,"ISR",229110748877.774
"1212",2008,"ISR",236706089725.202
"1213",2009,"ISR",238566592917.972
"1214",2010,"ISR",251230858446.564
"1215",2011,"ISR",263353000811.952
"1216",2012,"ISR",268077714283.321
"1217",2013,"ISR",279525357388.973
"1218",2014,"ISR",291188920596.141
"1219",2015,"ISR",297280096927.957
"1220",2016,"ISR",308655369979.534
"1221",2017,"ISR",319675275760.312
"1222",2018,"ISR",331140406244.646
"1223",2019,"ISR",342414086597.788
"1224",2020,"ISR",333743214125.031
"1225",2021,"ISR",350287344360.466
"1226",2022,"ISR",366216686072.749
"1227",2023,"ISR",377309100000
"1228",2024,"ISR",387461300000
"1229",2025,"ISR",398055300000
"1230",2026,"ISR",409246800000
"1231",2027,"ISR",420900100000
"1232",2028,"ISR",4.32921e+11
"1233",2029,"ISR",445274700000
"1234",2030,"ISR",4.57934e+11
"1235",2031,"ISR",470880900000
"1236",2032,"ISR",484110300000
"1237",2033,"ISR",497607300000
"1238",2034,"ISR",511355300000
"1239",2035,"ISR",525342100000
"1240",2036,"ISR",5.39563e+11
"1241",2037,"ISR",554012900000
"1242",2038,"ISR",568693100000
"1243",2039,"ISR",583608200000
"1244",2040,"ISR",598767400000
"1245",2041,"ISR",614185400000
"1246",2042,"ISR",629872600000
"1247",2043,"ISR",645843800000
"1248",2044,"ISR",662114100000
"1249",2045,"ISR",678701900000
"1250",2046,"ISR",695632800000
"1251",2047,"ISR",7.12931e+11
"1252",2048,"ISR",730626700000
"1253",2049,"ISR",748751600000
"1254",2050,"ISR",767340500000
"1255",2051,"ISR",7.8643e+11
"1256",2052,"ISR",8.06042e+11
"1257",2053,"ISR",826200500000
"1258",2054,"ISR",846931100000
"1259",2055,"ISR",868262700000
"1260",2056,"ISR",890223200000
"1261",2057,"ISR",912831600000
"1262",2058,"ISR",936090600000
"1263",2059,"ISR",960002400000
"1264",2060,"ISR",984575800000
"1265",1990,"JPN",4099858623690.63
"1266",1991,"JPN",4236151895628.22
"1267",1992,"JPN",4270846328082.36
"1268",1993,"JPN",4278152155530.31
"1269",1994,"JPN",4315098271130.42
"1270",1995,"JPN",4428627523710.67
"1271",1996,"JPN",4567415993716.52
"1272",1997,"JPN",4612232791762.65
"1273",1998,"JPN",4553642192126.23
"1274",1999,"JPN",4538435250301.7
"1275",2000,"JPN",4663907982419.91
"1276",2001,"JPN",4681916457311.87
"1277",2002,"JPN",4683879173303.58
"1278",2003,"JPN",4755784544448.54
"1279",2004,"JPN",4859750509262.17
"1280",2005,"JPN",4947415591088
"1281",2006,"JPN",5015311455266.13
"1282",2007,"JPN",5089737143154.76
"1283",2008,"JPN",5027424051150
"1284",2009,"JPN",4741200917156.09
"1285",2010,"JPN",4935491439132.44
"1286",2011,"JPN",4936666556141.76
"1287",2012,"JPN",5004532462567.18
"1288",2013,"JPN",5104879337578.28
"1289",2014,"JPN",5119999305282.04
"1290",2015,"JPN",5199905329157.38
"1291",2016,"JPN",5239103599002.72
"1292",2017,"JPN",5326874982531.7
"1293",2018,"JPN",5356644291308.03
"1294",2019,"JPN",5357356512719.1
"1295",2020,"JPN",5104892042792.7
"1296",2021,"JPN",5239313287475.56
"1297",2022,"JPN",5345936840533.81
"1298",2023,"JPN",5.405077e+12
"1299",2024,"JPN",5.445553e+12
"1300",2025,"JPN",5.477318e+12
"1301",2026,"JPN",5.506395e+12
"1302",2027,"JPN",5.536111e+12
"1303",2028,"JPN",5.567248e+12
"1304",2029,"JPN",5.599273e+12
"1305",2030,"JPN",5.631733e+12
"1306",2031,"JPN",5.664277e+12
"1307",2032,"JPN",5.696523e+12
"1308",2033,"JPN",5.727996e+12
"1309",2034,"JPN",5.758291e+12
"1310",2035,"JPN",5.787177e+12
"1311",2036,"JPN",5.8146e+12
"1312",2037,"JPN",5.840327e+12
"1313",2038,"JPN",5.864345e+12
"1314",2039,"JPN",5.886727e+12
"1315",2040,"JPN",5.907647e+12
"1316",2041,"JPN",5.927313e+12
"1317",2042,"JPN",5.94573e+12
"1318",2043,"JPN",5.962831e+12
"1319",2044,"JPN",5.978519e+12
"1320",2045,"JPN",5.99286e+12
"1321",2046,"JPN",6.006202e+12
"1322",2047,"JPN",6.018798e+12
"1323",2048,"JPN",6.031337e+12
"1324",2049,"JPN",6.04471e+12
"1325",2050,"JPN",6.0599e+12
"1326",2051,"JPN",6.077718e+12
"1327",2052,"JPN",6.098274e+12
"1328",2053,"JPN",6.12141e+12
"1329",2054,"JPN",6.146851e+12
"1330",2055,"JPN",6.174422e+12
"1331",2056,"JPN",6.204026e+12
"1332",2057,"JPN",6.235204e+12
"1333",2058,"JPN",6.267453e+12
"1334",2059,"JPN",6.300303e+12
"1335",2060,"JPN",6.333415e+12
"1336",1990,"KOR",529623483803.886
"1337",1991,"KOR",586706716769.172
"1338",1992,"KOR",623074446567.185
"1339",1993,"KOR",665926347051.972
"1340",1994,"KOR",727648710786.844
"1341",1995,"KOR",797608971918.22
"1342",1996,"KOR",860545929593.898
"1343",1997,"KOR",913646367334.374
"1344",1998,"KOR",866781350508.637
"1345",1999,"KOR",966174668937.203
"1346",2000,"KOR",1053718145318.8
"1347",2001,"KOR",1104848760087.2
"1348",2002,"KOR",1190199786532.44
"1349",2003,"KOR",1227658959891.85
"1350",2004,"KOR",1291465317263.04
"1351",2005,"KOR",1347108413831.3
"1352",2006,"KOR",1418024723078.54
"1353",2007,"KOR",1500263636810.93
"1354",2008,"KOR",1545466473373.75
"1355",2009,"KOR",1557717370491.52
"1356",2010,"KOR",1663717310268.2
"1357",2011,"KOR",1725036403158.4
"1358",2012,"KOR",1766480937375.53
"1359",2013,"KOR",1822385028781.96
"1360",2014,"KOR",1880745830313.88
"1361",2015,"KOR",1933577926176.51
"1362",2016,"KOR",1990558300586.27
"1363",2017,"KOR",2053452808699.35
"1364",2018,"KOR",2113154736522.13
"1365",2019,"KOR",2156249439175.4
"1366",2020,"KOR",2136698150248.27
"1367",2021,"KOR",2218625001380.37
"1368",2022,"KOR",2281506065120.33
"1369",2023,"KOR",2.349122e+12
"1370",2024,"KOR",2.41171e+12
"1371",2025,"KOR",2.467435e+12
"1372",2026,"KOR",2.517095e+12
"1373",2027,"KOR",2.561915e+12
"1374",2028,"KOR",2.603098e+12
"1375",2029,"KOR",2.64088e+12
"1376",2030,"KOR",2.675388e+12
"1377",2031,"KOR",2.706738e+12
"1378",2032,"KOR",2.734977e+12
"1379",2033,"KOR",2.760248e+12
"1380",2034,"KOR",2.782706e+12
"1381",2035,"KOR",2.802504e+12
"1382",2036,"KOR",2.819806e+12
"1383",2037,"KOR",2.834723e+12
"1384",2038,"KOR",2.847348e+12
"1385",2039,"KOR",2.857763e+12
"1386",2040,"KOR",2.866099e+12
"1387",2041,"KOR",2.872548e+12
"1388",2042,"KOR",2.877185e+12
"1389",2043,"KOR",2.880217e+12
"1390",2044,"KOR",2.881917e+12
"1391",2045,"KOR",2.88261e+12
"1392",2046,"KOR",2.88262e+12
"1393",2047,"KOR",2.882168e+12
"1394",2048,"KOR",2.881451e+12
"1395",2049,"KOR",2.880641e+12
"1396",2050,"KOR",2.879909e+12
"1397",2051,"KOR",2.879399e+12
"1398",2052,"KOR",2.879103e+12
"1399",2053,"KOR",2.878902e+12
"1400",2054,"KOR",2.878608e+12
"1401",2055,"KOR",2.878089e+12
"1402",2056,"KOR",2.877322e+12
"1403",2057,"KOR",2.876209e+12
"1404",2058,"KOR",2.874752e+12
"1405",2059,"KOR",2.872951e+12
"1406",2060,"KOR",2.870786e+12
"1407",1990,"MEX",1191563804885.14
"1408",1991,"MEX",1241533229984.46
"1409",1992,"MEX",1285847822936.97
"1410",1993,"MEX",1310915339678.06
"1411",1994,"MEX",1375688724456.25
"1412",1995,"MEX",1289140970989.78
"1413",1996,"MEX",1376457823899.8
"1414",1997,"MEX",1470701857982.05
"1415",1998,"MEX",1546647801433.06
"1416",1999,"MEX",1589235587594.98
"1417",2000,"MEX",1667782820603.42
"1418",2001,"MEX",1661038471799.09
"1419",2002,"MEX",1660376639568.53
"1420",2003,"MEX",1684392040026.35
"1421",2004,"MEX",1750430159420.31
"1422",2005,"MEX",1790826710257.39
"1423",2006,"MEX",1871325765898.33
"1424",2007,"MEX",1914206180218
"1425",2008,"MEX",1936096746607.05
"1426",2009,"MEX",1833759626268.86
"1427",2010,"MEX",1927613610800.59
"1428",2011,"MEX",1998222249884.88
"1429",2012,"MEX",2071003952082.22
"1430",2013,"MEX",2099047250508.67
"1431",2014,"MEX",2158865337783.13
"1432",2015,"MEX",2229960044120.44
"1433",2016,"MEX",2288619866396.87
"1434",2017,"MEX",2336981359204.88
"1435",2018,"MEX",2388277914553.17
"1436",2019,"MEX",2386975636219.41
"1437",2020,"MEX",2190301416552.97
"1438",2021,"MEX",2299481040467.11
"1439",2022,"MEX",2372532895580.18
"1440",2023,"MEX",2.485282e+12
"1441",2024,"MEX",2.592371e+12
"1442",2025,"MEX",2.68738e+12
"1443",2026,"MEX",2.77247e+12
"1444",2027,"MEX",2.850996e+12
"1445",2028,"MEX",2.926182e+12
"1446",2029,"MEX",2.999927e+12
"1447",2030,"MEX",3.073297e+12
"1448",2031,"MEX",3.146855e+12
"1449",2032,"MEX",3.220864e+12
"1450",2033,"MEX",3.295445e+12
"1451",2034,"MEX",3.370625e+12
"1452",2035,"MEX",3.446378e+12
"1453",2036,"MEX",3.522672e+12
"1454",2037,"MEX",3.59945e+12
"1455",2038,"MEX",3.676677e+12
"1456",2039,"MEX",3.754303e+12
"1457",2040,"MEX",3.832268e+12
"1458",2041,"MEX",3.910525e+12
"1459",2042,"MEX",3.98902e+12
"1460",2043,"MEX",4.067706e+12
"1461",2044,"MEX",4.146524e+12
"1462",2045,"MEX",4.225422e+12
"1463",2046,"MEX",4.30437e+12
"1464",2047,"MEX",4.383344e+12
"1465",2048,"MEX",4.462341e+12
"1466",2049,"MEX",4.541342e+12
"1467",2050,"MEX",4.620325e+12
"1468",2051,"MEX",4.699274e+12
"1469",2052,"MEX",4.778128e+12
"1470",2053,"MEX",4.856853e+12
"1471",2054,"MEX",4.935403e+12
"1472",2055,"MEX",5.013762e+12
"1473",2056,"MEX",5.091976e+12
"1474",2057,"MEX",5.17014e+12
"1475",2058,"MEX",5.248448e+12
"1476",2059,"MEX",5.327178e+12
"1477",2060,"MEX",5.406676e+12
"1478",1990,"NOR",171295756646.159
"1479",1991,"NOR",176579783149.101
"1480",1992,"NOR",182891359104.393
"1481",1993,"NOR",188095194718.966
"1482",1994,"NOR",197604174957.765
"1483",1995,"NOR",205815721926.805
"1484",1996,"NOR",216163941290.436
"1485",1997,"NOR",227587455945.698
"1486",1998,"NOR",233560294527.705
"1487",1999,"NOR",238261508401.727
"1488",2000,"NOR",245897616616.64
"1489",2001,"NOR",250999508412.205
"1490",2002,"NOR",254629666972.603
"1491",2003,"NOR",256947091473.047
