"","year","code_state","level_one","level_two","emissions_type","co2e_emissions"
"75",1974,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",10641864.7963241
"76",1975,"BR","Agropecuária","Cultivo de Arroz","net",6761180.99972
"77",1975,"BR","Agropecuária","Fermentação Entérica","net",196989275.24024
"78",1975,"BR","Agropecuária","Manejo de Dejetos Animais","net",13965373.08384
"79",1975,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",789687.37476
"80",1975,"BR","Agropecuária","Solos Manejados","net",55159325.81017
"81",1975,"BR","Energia","Emissões Fugitivas","net",4741083.9174618
"82",1975,"BR","Energia","Emissões pela Queima de Combustíveis","net",152944847.469855
"83",1975,"BR","Processos Industriais","Emissões de HFCs","net",0
"84",1975,"BR","Processos Industriais","Indústria Química","net",3572735.90982643
"85",1975,"BR","Processos Industriais","Produção de Metais","net",9052132.75876291
"86",1975,"BR","Processos Industriais","Produtos Minerais","net",8942350.82421813
"87",1975,"BR","Processos Industriais","Uso de SF6","net",0
"88",1975,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"89",1975,"BR","Resíduos","Resíduos Sólidos","net",1664041.12302259
"90",1975,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",10963131.8923829
"91",1976,"BR","Agropecuária","Cultivo de Arroz","net",7886802.78568
"92",1976,"BR","Agropecuária","Fermentação Entérica","net",205702466.76364
"93",1976,"BR","Agropecuária","Manejo de Dejetos Animais","net",14544682.70952
"94",1976,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",812252.43643
"95",1976,"BR","Agropecuária","Solos Manejados","net",57755046.1096
"96",1976,"BR","Energia","Emissões Fugitivas","net",5401693.40507588
"97",1976,"BR","Energia","Emissões pela Queima de Combustíveis","net",165057833.029476
"98",1976,"BR","Processos Industriais","Emissões de HFCs","net",0
"99",1976,"BR","Processos Industriais","Indústria Química","net",4508527.36357815
"100",1976,"BR","Processos Industriais","Produção de Metais","net",10275485.4760068
"101",1976,"BR","Processos Industriais","Produtos Minerais","net",10024826.0051605
"102",1976,"BR","Processos Industriais","Uso de SF6","net",0
"103",1976,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"104",1976,"BR","Resíduos","Resíduos Sólidos","net",1953227.49790819
"105",1976,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",11247274.8071993
"106",1977,"BR","Agropecuária","Cultivo de Arroz","net",7795191.14864
"107",1977,"BR","Agropecuária","Fermentação Entérica","net",206017345.48836
"108",1977,"BR","Agropecuária","Manejo de Dejetos Animais","net",13853169.54455
"109",1977,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1000304.32581
"110",1977,"BR","Agropecuária","Solos Manejados","net",59570611.99344
"111",1977,"BR","Energia","Emissões Fugitivas","net",5946521.65749321
"112",1977,"BR","Energia","Emissões pela Queima de Combustíveis","net",166879337.48843
"113",1977,"BR","Processos Industriais","Emissões de HFCs","net",0
"114",1977,"BR","Processos Industriais","Indústria Química","net",4754777.40505256
"115",1977,"BR","Processos Industriais","Produção de Metais","net",13465790.9283726
"116",1977,"BR","Processos Industriais","Produtos Minerais","net",11334906.0122684
"117",1977,"BR","Processos Industriais","Uso de SF6","net",0
"118",1977,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"119",1977,"BR","Resíduos","Resíduos Sólidos","net",2249357.65486648
"120",1977,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",11597670.3859054
"121",1978,"BR","Agropecuária","Cultivo de Arroz","net",6984279.39468
"122",1978,"BR","Agropecuária","Fermentação Entérica","net",205265827.24816
"123",1978,"BR","Agropecuária","Manejo de Dejetos Animais","net",14065238.75409
"124",1978,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1004681.54153
"125",1978,"BR","Agropecuária","Solos Manejados","net",59275489.60201
"126",1978,"BR","Energia","Emissões Fugitivas","net",6880537.82215739
"127",1978,"BR","Energia","Emissões pela Queima de Combustíveis","net",177952499.185587
"128",1978,"BR","Processos Industriais","Emissões de HFCs","net",0
"129",1978,"BR","Processos Industriais","Indústria Química","net",5083038.51032293
"130",1978,"BR","Processos Industriais","Produção de Metais","net",14843845.8075273
"131",1978,"BR","Processos Industriais","Produtos Minerais","net",12656065.7965245
"132",1978,"BR","Processos Industriais","Uso de SF6","net",0
"133",1978,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"134",1978,"BR","Resíduos","Resíduos Sólidos","net",2563110.76714122
"135",1978,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",11904154.4023655
"136",1979,"BR","Agropecuária","Cultivo de Arroz","net",7850382.16844
"137",1979,"BR","Agropecuária","Fermentação Entérica","net",209989189.27448
"138",1979,"BR","Agropecuária","Manejo de Dejetos Animais","net",14758427.35279
"139",1979,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1119075.0806
"140",1979,"BR","Agropecuária","Solos Manejados","net",61503372.21312
"141",1979,"BR","Energia","Emissões Fugitivas","net",7417730.65481755
"142",1979,"BR","Energia","Emissões pela Queima de Combustíveis","net",186009729.478994
