"","year","iso3c","gdp","continent"
"128",1960,"MLI",NA,"Africa"
"129",1960,"MLT",NA,"Europe"
"130",1960,"MMR",NA,"Asia"
"131",1960,"MNE",NA,"Europe"
"132",1960,"MNG",NA,"Asia"
"133",1960,"MNP",NA,"Oceania"
"134",1960,"MOZ",NA,"Africa"
"135",1960,"MRT",NA,"Africa"
"136",1960,"MUS",NA,"Africa"
"137",1960,"MWI",654451640.612009,"Africa"
"138",1960,"MYS",10075038171.6525,"Asia"
"139",1960,"NAM",NA,"Africa"
"140",1960,"NCL",NA,"Oceania"
"141",1960,"NER",2602180343.93477,"Africa"
"142",1960,"NGA",64724937007.5977,"Africa"
"143",1960,"NIC",2980627731.35026,"Americas"
"144",1960,"NLD",163927200018.449,"Europe"
"145",1960,"NOR",68523641465.0293,"Europe"
"146",1960,"NPL",3319352488.96172,"Asia"
"147",1960,"NRU",NA,"Oceania"
"148",1960,"NZL",NA,"Oceania"
"149",1960,"OMN",NA,"Asia"
"150",1960,"PAK",17051906515.0516,"Asia"
"151",1960,"PAN",3068863747.14319,"Americas"
"152",1960,"PER",27514935716.1709,"Americas"
"153",1960,"PHL",31344442131.3627,"Asia"
"154",1960,"PLW",NA,"Oceania"
"155",1960,"PNG",2618713053.25887,"Oceania"
"156",1960,"POL",NA,"Europe"
"157",1960,"PRI",14872889486.0721,"Americas"
"158",1960,"PRK",NA,"Asia"
"159",1960,"PRT",34840608644.3013,"Europe"
"160",1960,"PRY",2840637241.11268,"Americas"
"161",1960,"PSE",NA,"Asia"
"162",1960,"PYF",NA,"Oceania"
"163",1960,"QAT",NA,"Asia"
"164",1960,"ROU",NA,"Europe"
"165",1960,"RUS",NA,"Europe"
"166",1960,"RWA",1013240902.30708,"Africa"
"167",1960,"SAU",NA,"Asia"
"168",1960,"SDN",10295238517.4171,"Africa"
"169",1960,"SEN",3845391088.81703,"Africa"
"170",1960,"SGP",5942828047.71603,"Asia"
"171",1960,"SLB",NA,"Oceania"
"172",1960,"SLE",1151844102.95132,"Africa"
"173",1960,"SLV",NA,"Americas"
"174",1960,"SMR",NA,"Europe"
"175",1960,"SOM",NA,"Africa"
"176",1960,"SRB",NA,"Europe"
"177",1960,"SSD",NA,"Africa"
"178",1960,"STP",NA,"Africa"
"179",1960,"SUR",1039848345.70204,"Americas"
"180",1960,"SVK",NA,"Europe"
"181",1960,"SVN",NA,"Europe"
"182",1960,"SWE",123686642725.624,"Europe"
"183",1960,"SWZ",NA,"Africa"
"184",1960,"SXM",NA,"Americas"
"185",1960,"SYC",131933783.530125,"Africa"
"186",1960,"SYR",2395697353.80579,"Asia"
"187",1960,"TCA",NA,"Americas"
"188",1960,"TCD",1696963329.07911,"Africa"
"189",1960,"TGO",535797649.692092,"Africa"
"190",1960,"THA",15908745237.0732,"Asia"
"191",1960,"TJK",NA,"Asia"
"192",1960,"TKM",NA,"Asia"
"193",1960,"TLS",NA,"Asia"
"194",1960,"TON",NA,"Oceania"
"195",1960,"TTO",3687199918.13576,"Americas"
"196",1960,"TUN",NA,"Africa"
"197",1960,"TUR",68945226535.3849,"Asia"
"198",1960,"TUV",NA,"Oceania"
"199",1960,"TZA",NA,"Africa"
"200",1960,"UGA",NA,"Africa"
"201",1960,"UKR",NA,"Europe"
"202",1960,"URY",15568244458.5019,"Americas"
"203",1960,"USA",3457188037625.69,"Americas"
"204",1960,"UZB",NA,"Asia"
"205",1960,"VCT",149190188.238018,"Americas"
"206",1960,"VEN",NA,"Americas"
"207",1960,"VGB",NA,"Americas"
"208",1960,"VIR",NA,"Americas"
"209",1960,"VNM",NA,"Asia"
"210",1960,"VUT",NA,"Oceania"
"211",1960,"WSM",NA,"Oceania"
"212",1960,"YEM",NA,"Asia"
"213",1960,"ZAF",65652816757.7433,"Africa"
"214",1960,"ZMB",3745698444.11593,"Africa"
